timestamp, power.draw [W], utilization.gpu [%]
2026/03/18 06:19:57.575, 172.72 W, 28 %
2026/03/18 06:19:57.676, 163.12 W, 0 %
2026/03/18 06:19:57.777, 152.41 W, 0 %
2026/03/18 06:19:57.877, 143.53 W, 0 %
2026/03/18 06:19:57.977, 133.07 W, 0 %
2026/03/18 06:19:58.077, 123.18 W, 67 %
2026/03/18 06:19:58.177, 113.21 W, 67 %
2026/03/18 06:19:58.277, 103.58 W, 96 %
2026/03/18 06:19:58.377, 93.90 W, 96 %
2026/03/18 06:19:58.478, 89.58 W, 96 %
2026/03/18 06:19:58.578, 89.69 W, 96 %
2026/03/18 06:19:58.678, 89.78 W, 96 %
2026/03/18 06:19:58.778, 89.86 W, 96 %
2026/03/18 06:19:58.878, 90.02 W, 96 %
2026/03/18 06:19:58.978, 90.15 W, 96 %
2026/03/18 06:19:59.078, 90.24 W, 96 %
2026/03/18 06:19:59.179, 90.22 W, 96 %
2026/03/18 06:19:59.279, 90.19 W, 96 %
2026/03/18 06:19:59.379, 90.19 W, 96 %
2026/03/18 06:19:59.479, 90.17 W, 96 %
2026/03/18 06:19:59.579, 90.14 W, 96 %
2026/03/18 06:19:59.679, 90.09 W, 88 %
2026/03/18 06:19:59.779, 90.07 W, 88 %
2026/03/18 06:19:59.880, 90.07 W, 96 %
2026/03/18 06:19:59.980, 90.06 W, 96 %
2026/03/18 06:20:00.080, 90.03 W, 96 %
2026/03/18 06:20:00.180, 90.02 W, 96 %
2026/03/18 06:20:00.280, 90.02 W, 96 %
2026/03/18 06:20:00.380, 90.00 W, 96 %
2026/03/18 06:20:00.480, 89.99 W, 96 %
2026/03/18 06:20:00.581, 89.99 W, 96 %
2026/03/18 06:20:00.681, 90.02 W, 96 %
2026/03/18 06:20:00.781, 90.01 W, 96 %
2026/03/18 06:20:00.881, 90.02 W, 96 %
2026/03/18 06:20:00.981, 89.99 W, 96 %
2026/03/18 06:20:01.081, 90.00 W, 96 %
2026/03/18 06:20:01.181, 89.97 W, 96 %
2026/03/18 06:20:01.282, 89.98 W, 96 %
2026/03/18 06:20:01.382, 89.97 W, 96 %
2026/03/18 06:20:01.482, 89.95 W, 96 %
2026/03/18 06:20:01.582, 89.93 W, 96 %
2026/03/18 06:20:01.682, 89.92 W, 96 %
2026/03/18 06:20:01.782, 89.92 W, 96 %
2026/03/18 06:20:01.882, 89.89 W, 96 %
2026/03/18 06:20:01.983, 89.90 W, 96 %
2026/03/18 06:20:02.083, 89.92 W, 96 %
2026/03/18 06:20:02.183, 89.91 W, 96 %
2026/03/18 06:20:02.283, 89.93 W, 96 %
2026/03/18 06:20:02.383, 89.94 W, 96 %
2026/03/18 06:20:02.483, 89.95 W, 96 %
2026/03/18 06:20:02.583, 89.95 W, 96 %
2026/03/18 06:20:02.684, 89.94 W, 96 %
2026/03/18 06:20:02.784, 89.94 W, 96 %
2026/03/18 06:20:02.884, 89.93 W, 96 %
2026/03/18 06:20:02.984, 89.89 W, 96 %
2026/03/18 06:20:03.084, 89.89 W, 96 %
2026/03/18 06:20:03.184, 89.91 W, 96 %
2026/03/18 06:20:03.284, 89.89 W, 96 %
2026/03/18 06:20:03.385, 89.89 W, 96 %
2026/03/18 06:20:03.485, 89.90 W, 96 %
2026/03/18 06:20:03.585, 89.89 W, 96 %
2026/03/18 06:20:03.685, 89.90 W, 96 %
2026/03/18 06:20:03.785, 89.90 W, 96 %
2026/03/18 06:20:03.885, 89.92 W, 96 %
2026/03/18 06:20:03.985, 89.93 W, 96 %
2026/03/18 06:20:04.086, 89.92 W, 96 %
2026/03/18 06:20:04.186, 89.90 W, 96 %
2026/03/18 06:20:04.286, 89.92 W, 96 %
2026/03/18 06:20:04.386, 89.90 W, 96 %
2026/03/18 06:20:04.486, 89.88 W, 96 %
2026/03/18 06:20:04.586, 89.88 W, 96 %
2026/03/18 06:20:04.686, 89.89 W, 96 %
2026/03/18 06:20:04.787, 89.90 W, 96 %
2026/03/18 06:20:04.887, 89.86 W, 96 %
2026/03/18 06:20:04.987, 89.88 W, 96 %
2026/03/18 06:20:05.087, 89.90 W, 96 %
2026/03/18 06:20:05.187, 89.93 W, 96 %
