timestamp, power.draw [W], utilization.gpu [%]
2026/03/18 08:17:18.209, 147.30 W, 86 %
2026/03/18 08:17:18.311, 141.35 W, 86 %
2026/03/18 08:17:18.411, 132.42 W, 0 %
2026/03/18 08:17:18.511, 127.09 W, 0 %
2026/03/18 08:17:18.611, 120.65 W, 3 %
2026/03/18 08:17:18.711, 114.32 W, 3 %
2026/03/18 08:17:18.811, 107.93 W, 1 %
2026/03/18 08:17:18.911, 102.72 W, 1 %
2026/03/18 08:17:19.012, 96.70 W, 0 %
2026/03/18 08:17:19.112, 109.34 W, 0 %
2026/03/18 08:17:19.212, 129.81 W, 100 %
2026/03/18 08:17:19.312, 142.07 W, 100 %
2026/03/18 08:17:19.412, 170.38 W, 98 %
2026/03/18 08:17:19.512, 190.91 W, 98 %
2026/03/18 08:17:19.612, 211.55 W, 100 %
2026/03/18 08:17:19.713, 229.60 W, 100 %
2026/03/18 08:17:19.813, 250.10 W, 100 %
2026/03/18 08:17:19.913, 274.17 W, 100 %
2026/03/18 08:17:20.013, 294.98 W, 100 %
2026/03/18 08:17:20.113, 296.30 W, 100 %
2026/03/18 08:17:20.213, 294.28 W, 91 %
2026/03/18 08:17:20.313, 294.44 W, 91 %
2026/03/18 08:17:20.414, 295.05 W, 100 %
2026/03/18 08:17:20.514, 295.34 W, 100 %
2026/03/18 08:17:20.614, 295.12 W, 100 %
2026/03/18 08:17:20.714, 295.33 W, 100 %
2026/03/18 08:17:20.814, 295.37 W, 100 %
2026/03/18 08:17:20.914, 295.49 W, 100 %
2026/03/18 08:17:21.014, 295.59 W, 100 %
2026/03/18 08:17:21.115, 295.69 W, 100 %
2026/03/18 08:17:21.215, 297.48 W, 100 %
2026/03/18 08:17:21.315, 297.15 W, 100 %
2026/03/18 08:17:21.415, 296.97 W, 100 %
2026/03/18 08:17:21.515, 297.12 W, 100 %
2026/03/18 08:17:21.615, 297.03 W, 100 %
2026/03/18 08:17:21.715, 297.01 W, 100 %
2026/03/18 08:17:21.816, 297.08 W, 100 %
2026/03/18 08:17:21.916, 297.11 W, 100 %
2026/03/18 08:17:22.016, 297.06 W, 100 %
2026/03/18 08:17:22.116, 296.80 W, 100 %
2026/03/18 08:17:22.216, 297.17 W, 100 %
2026/03/18 08:17:22.316, 297.65 W, 100 %
2026/03/18 08:17:22.416, 297.98 W, 98 %
2026/03/18 08:17:22.517, 297.91 W, 98 %
2026/03/18 08:17:22.617, 297.89 W, 100 %
2026/03/18 08:17:22.717, 298.13 W, 100 %
2026/03/18 08:17:22.817, 298.12 W, 100 %
2026/03/18 08:17:22.917, 298.27 W, 100 %
2026/03/18 08:17:23.017, 298.24 W, 100 %
2026/03/18 08:17:23.117, 298.17 W, 100 %
2026/03/18 08:17:23.218, 298.32 W, 100 %
2026/03/18 08:17:23.318, 297.99 W, 100 %
2026/03/18 08:17:23.418, 297.71 W, 100 %
2026/03/18 08:17:23.518, 298.01 W, 100 %
2026/03/18 08:17:23.618, 298.23 W, 100 %
2026/03/18 08:17:23.718, 298.02 W, 100 %
2026/03/18 08:17:23.818, 297.82 W, 100 %
2026/03/18 08:17:23.919, 297.78 W, 100 %
2026/03/18 08:17:24.019, 297.66 W, 100 %
2026/03/18 08:17:24.119, 297.73 W, 100 %
2026/03/18 08:17:24.219, 297.63 W, 100 %
2026/03/18 08:17:24.319, 297.70 W, 100 %
2026/03/18 08:17:24.419, 297.73 W, 100 %
2026/03/18 08:17:24.519, 297.45 W, 100 %
2026/03/18 08:17:24.620, 297.29 W, 98 %
2026/03/18 08:17:24.720, 297.39 W, 98 %
2026/03/18 08:17:24.820, 297.18 W, 100 %
2026/03/18 08:17:24.920, 297.11 W, 100 %
2026/03/18 08:17:25.020, 297.11 W, 100 %
2026/03/18 08:17:25.120, 297.11 W, 100 %
2026/03/18 08:17:25.220, 297.28 W, 100 %
2026/03/18 08:17:25.321, 297.21 W, 100 %
2026/03/18 08:17:25.421, 296.90 W, 100 %
2026/03/18 08:17:25.521, 297.14 W, 100 %
2026/03/18 08:17:25.621, 297.24 W, 100 %
2026/03/18 08:17:25.721, 297.40 W, 100 %
2026/03/18 08:17:25.821, 297.50 W, 100 %
2026/03/18 08:17:25.921, 297.37 W, 100 %
2026/03/18 08:17:26.022, 297.21 W, 100 %
2026/03/18 08:17:26.122, 297.45 W, 100 %
2026/03/18 08:17:26.222, 297.74 W, 100 %
2026/03/18 08:17:26.322, 298.13 W, 100 %
2026/03/18 08:17:26.422, 298.05 W, 100 %
2026/03/18 08:17:26.522, 298.00 W, 100 %
2026/03/18 08:17:26.622, 297.97 W, 100 %
2026/03/18 08:17:26.723, 298.06 W, 100 %
2026/03/18 08:17:26.823, 297.35 W, 98 %
2026/03/18 08:17:26.923, 297.61 W, 98 %
2026/03/18 08:17:27.023, 297.96 W, 100 %
2026/03/18 08:17:27.123, 297.80 W, 100 %
2026/03/18 08:17:27.223, 297.46 W, 100 %
2026/03/18 08:17:27.323, 297.25 W, 100 %
2026/03/18 08:17:27.424, 297.42 W, 100 %
2026/03/18 08:17:27.524, 297.34 W, 100 %
2026/03/18 08:17:27.624, 297.24 W, 100 %
2026/03/18 08:17:27.724, 297.23 W, 100 %
2026/03/18 08:17:27.824, 297.86 W, 100 %
2026/03/18 08:17:27.924, 297.60 W, 100 %
2026/03/18 08:17:28.024, 297.70 W, 100 %
2026/03/18 08:17:28.125, 297.77 W, 100 %
2026/03/18 08:17:28.225, 297.79 W, 100 %
2026/03/18 08:17:28.325, 297.79 W, 100 %
2026/03/18 08:17:28.425, 297.72 W, 100 %
2026/03/18 08:17:28.525, 297.83 W, 100 %
2026/03/18 08:17:28.625, 297.92 W, 100 %
2026/03/18 08:17:28.725, 297.99 W, 100 %
