timestamp, power.draw [W], utilization.gpu [%]
2026/03/18 16:14:53.755, 204.00 W, 86 %
2026/03/18 16:14:53.857, 196.85 W, 1 %
2026/03/18 16:14:53.957, 186.67 W, 1 %
2026/03/18 16:14:54.057, 177.15 W, 0 %
2026/03/18 16:14:54.157, 169.26 W, 0 %
2026/03/18 16:14:54.257, 160.12 W, 5 %
2026/03/18 16:14:54.357, 160.78 W, 5 %
2026/03/18 16:14:54.457, 162.23 W, 88 %
2026/03/18 16:14:54.558, 161.88 W, 88 %
2026/03/18 16:14:54.658, 160.12 W, 87 %
2026/03/18 16:14:54.758, 168.26 W, 87 %
2026/03/18 16:14:54.858, 175.94 W, 87 %
2026/03/18 16:14:54.958, 184.45 W, 87 %
2026/03/18 16:14:55.058, 193.17 W, 87 %
2026/03/18 16:14:55.158, 203.85 W, 87 %
2026/03/18 16:14:55.259, 211.90 W, 87 %
2026/03/18 16:14:55.359, 211.87 W, 87 %
2026/03/18 16:14:55.459, 211.67 W, 86 %
2026/03/18 16:14:55.559, 211.01 W, 86 %
2026/03/18 16:14:55.659, 211.14 W, 88 %
2026/03/18 16:14:55.759, 211.86 W, 88 %
2026/03/18 16:14:55.859, 212.01 W, 88 %
2026/03/18 16:14:55.959, 211.87 W, 88 %
2026/03/18 16:14:56.060, 211.48 W, 87 %
2026/03/18 16:14:56.160, 211.26 W, 87 %
2026/03/18 16:14:56.260, 211.09 W, 87 %
2026/03/18 16:14:56.360, 210.98 W, 87 %
2026/03/18 16:14:56.460, 211.20 W, 87 %
2026/03/18 16:14:56.560, 211.30 W, 87 %
2026/03/18 16:14:56.660, 211.14 W, 86 %
2026/03/18 16:14:56.761, 210.95 W, 86 %
2026/03/18 16:14:56.861, 210.99 W, 88 %
2026/03/18 16:14:56.961, 211.24 W, 88 %
2026/03/18 16:14:57.061, 211.64 W, 87 %
2026/03/18 16:14:57.161, 211.84 W, 87 %
2026/03/18 16:14:57.261, 211.44 W, 86 %
2026/03/18 16:14:57.361, 211.33 W, 86 %
2026/03/18 16:14:57.461, 211.30 W, 87 %
2026/03/18 16:14:57.562, 211.46 W, 87 %
2026/03/18 16:14:57.662, 211.63 W, 87 %
2026/03/18 16:14:57.762, 211.57 W, 87 %
2026/03/18 16:14:57.862, 211.38 W, 86 %
2026/03/18 16:14:57.962, 211.19 W, 86 %
2026/03/18 16:14:58.062, 211.13 W, 87 %
2026/03/18 16:14:58.162, 211.10 W, 87 %
2026/03/18 16:14:58.263, 211.52 W, 87 %
2026/03/18 16:14:58.363, 211.74 W, 87 %
2026/03/18 16:14:58.463, 212.01 W, 86 %
2026/03/18 16:14:58.563, 211.78 W, 86 %
2026/03/18 16:14:58.663, 211.94 W, 87 %
2026/03/18 16:14:58.763, 211.86 W, 87 %
2026/03/18 16:14:58.863, 211.75 W, 88 %
2026/03/18 16:14:58.963, 211.77 W, 88 %
2026/03/18 16:14:59.064, 212.16 W, 87 %
2026/03/18 16:14:59.164, 212.09 W, 87 %
2026/03/18 16:14:59.264, 212.18 W, 87 %
2026/03/18 16:14:59.364, 212.34 W, 87 %
2026/03/18 16:14:59.464, 212.04 W, 87 %
2026/03/18 16:14:59.564, 212.09 W, 87 %
2026/03/18 16:14:59.664, 212.32 W, 87 %
2026/03/18 16:14:59.765, 212.92 W, 87 %
2026/03/18 16:14:59.865, 213.05 W, 88 %
2026/03/18 16:14:59.965, 213.23 W, 88 %
2026/03/18 16:15:00.065, 212.95 W, 88 %
2026/03/18 16:15:00.165, 213.03 W, 88 %
2026/03/18 16:15:00.265, 213.06 W, 88 %
2026/03/18 16:15:00.365, 213.18 W, 88 %
2026/03/18 16:15:00.466, 213.83 W, 88 %
2026/03/18 16:15:00.566, 214.21 W, 88 %
2026/03/18 16:15:00.666, 214.13 W, 87 %
2026/03/18 16:15:00.766, 213.98 W, 87 %
2026/03/18 16:15:00.866, 214.03 W, 87 %
2026/03/18 16:15:00.966, 213.46 W, 87 %
2026/03/18 16:15:01.066, 213.79 W, 86 %
2026/03/18 16:15:01.167, 213.77 W, 86 %
2026/03/18 16:15:01.267, 213.93 W, 86 %
2026/03/18 16:15:01.367, 213.76 W, 86 %
2026/03/18 16:15:01.467, 213.48 W, 88 %
2026/03/18 16:15:01.567, 213.15 W, 88 %
2026/03/18 16:15:01.667, 213.31 W, 88 %
2026/03/18 16:15:01.767, 213.16 W, 88 %
2026/03/18 16:15:01.867, 212.56 W, 87 %
2026/03/18 16:15:01.968, 212.77 W, 87 %
2026/03/18 16:15:02.068, 213.40 W, 87 %
2026/03/18 16:15:02.168, 213.38 W, 87 %
2026/03/18 16:15:02.268, 213.04 W, 87 %
2026/03/18 16:15:02.368, 212.77 W, 87 %
2026/03/18 16:15:02.468, 212.72 W, 86 %
2026/03/18 16:15:02.568, 212.47 W, 86 %
2026/03/18 16:15:02.669, 212.45 W, 87 %
2026/03/18 16:15:02.769, 212.70 W, 87 %
2026/03/18 16:15:02.869, 213.13 W, 87 %
2026/03/18 16:15:02.969, 213.66 W, 87 %
2026/03/18 16:15:03.069, 212.95 W, 87 %
2026/03/18 16:15:03.169, 213.17 W, 87 %
2026/03/18 16:15:03.269, 213.74 W, 87 %
2026/03/18 16:15:03.370, 214.01 W, 87 %
2026/03/18 16:15:03.470, 213.79 W, 87 %
2026/03/18 16:15:03.570, 213.55 W, 87 %
2026/03/18 16:15:03.670, 213.64 W, 88 %
2026/03/18 16:15:03.770, 213.16 W, 88 %
2026/03/18 16:15:03.870, 213.17 W, 87 %
2026/03/18 16:15:03.970, 213.43 W, 87 %
2026/03/18 16:15:04.071, 213.93 W, 87 %
2026/03/18 16:15:04.171, 213.85 W, 87 %
2026/03/18 16:15:04.271, 212.81 W, 87 %
2026/03/18 16:15:04.371, 212.63 W, 87 %
2026/03/18 16:15:04.471, 212.60 W, 87 %
2026/03/18 16:15:04.571, 212.87 W, 87 %
2026/03/18 16:15:04.671, 213.01 W, 88 %
2026/03/18 16:15:04.772, 213.09 W, 88 %
2026/03/18 16:15:04.872, 213.05 W, 87 %
2026/03/18 16:15:04.972, 212.86 W, 87 %
2026/03/18 16:15:05.072, 212.30 W, 87 %
2026/03/18 16:15:05.172, 212.44 W, 87 %
2026/03/18 16:15:05.272, 212.74 W, 88 %
2026/03/18 16:15:05.372, 212.87 W, 88 %
2026/03/18 16:15:05.472, 212.71 W, 88 %
2026/03/18 16:15:05.573, 213.07 W, 88 %
2026/03/18 16:15:05.673, 213.20 W, 88 %
2026/03/18 16:15:05.773, 213.03 W, 88 %
2026/03/18 16:15:05.873, 213.12 W, 88 %
2026/03/18 16:15:05.973, 213.16 W, 88 %
2026/03/18 16:15:06.073, 213.15 W, 87 %
2026/03/18 16:15:06.173, 213.28 W, 87 %
2026/03/18 16:15:06.274, 213.79 W, 87 %
2026/03/18 16:15:06.374, 213.77 W, 87 %
2026/03/18 16:15:06.474, 213.59 W, 87 %
2026/03/18 16:15:06.574, 213.35 W, 87 %
2026/03/18 16:15:06.674, 213.05 W, 87 %
2026/03/18 16:15:06.774, 212.77 W, 87 %
2026/03/18 16:15:06.874, 213.12 W, 87 %
2026/03/18 16:15:06.974, 212.57 W, 87 %
2026/03/18 16:15:07.075, 212.66 W, 87 %
2026/03/18 16:15:07.175, 212.31 W, 87 %
2026/03/18 16:15:07.275, 211.93 W, 87 %
2026/03/18 16:15:07.375, 211.57 W, 87 %
2026/03/18 16:15:07.475, 211.80 W, 86 %
2026/03/18 16:15:07.575, 212.25 W, 86 %
2026/03/18 16:15:07.675, 212.23 W, 87 %
2026/03/18 16:15:07.776, 212.54 W, 87 %
2026/03/18 16:15:07.876, 212.32 W, 87 %
2026/03/18 16:15:07.976, 212.77 W, 87 %
2026/03/18 16:15:08.076, 212.94 W, 86 %
2026/03/18 16:15:08.176, 213.19 W, 86 %
2026/03/18 16:15:08.276, 212.85 W, 87 %
2026/03/18 16:15:08.376, 212.58 W, 87 %
2026/03/18 16:15:08.476, 212.68 W, 88 %
2026/03/18 16:15:08.577, 212.20 W, 88 %
2026/03/18 16:15:08.677, 211.80 W, 86 %
2026/03/18 16:15:08.777, 212.00 W, 86 %
2026/03/18 16:15:08.877, 212.46 W, 87 %
2026/03/18 16:15:08.977, 212.16 W, 87 %
2026/03/18 16:15:09.077, 211.95 W, 88 %
2026/03/18 16:15:09.177, 211.91 W, 88 %
2026/03/18 16:15:09.278, 212.47 W, 86 %
2026/03/18 16:15:09.378, 213.06 W, 86 %
2026/03/18 16:15:09.478, 213.53 W, 87 %
2026/03/18 16:15:09.578, 213.33 W, 87 %
2026/03/18 16:15:09.678, 213.65 W, 87 %
2026/03/18 16:15:09.778, 213.30 W, 87 %
2026/03/18 16:15:09.878, 213.00 W, 87 %
2026/03/18 16:15:09.979, 212.77 W, 87 %
2026/03/18 16:15:10.079, 212.53 W, 88 %
2026/03/18 16:15:10.179, 212.68 W, 88 %
2026/03/18 16:15:10.279, 212.57 W, 87 %
2026/03/18 16:15:10.379, 211.82 W, 87 %
2026/03/18 16:15:10.479, 211.51 W, 88 %
2026/03/18 16:15:10.579, 211.84 W, 88 %
2026/03/18 16:15:10.680, 211.64 W, 88 %
2026/03/18 16:15:10.780, 211.54 W, 88 %
2026/03/18 16:15:10.880, 211.38 W, 87 %
2026/03/18 16:15:10.980, 211.55 W, 87 %
2026/03/18 16:15:11.080, 211.25 W, 85 %
