timestamp, power.draw [W], utilization.gpu [%]
2026/03/16 23:40:10.347, 94.49 W, 20 %
2026/03/16 23:40:10.449, 94.49 W, 20 %
2026/03/16 23:40:10.549, 92.17 W, 0 %
2026/03/16 23:40:10.650, 90.75 W, 0 %
2026/03/16 23:40:10.750, 88.95 W, 0 %
2026/03/16 23:40:10.850, 87.61 W, 0 %
2026/03/16 23:40:10.950, 86.14 W, 6 %
2026/03/16 23:40:11.050, 84.51 W, 6 %
2026/03/16 23:40:11.150, 82.90 W, 0 %
2026/03/16 23:40:11.250, 81.27 W, 0 %
2026/03/16 23:40:11.351, 81.02 W, 0 %
2026/03/16 23:40:11.451, 80.95 W, 0 %
2026/03/16 23:40:11.551, 80.96 W, 0 %
2026/03/16 23:40:11.651, 80.91 W, 0 %
2026/03/16 23:40:11.751, 80.79 W, 0 %
2026/03/16 23:40:11.851, 80.74 W, 0 %
2026/03/16 23:40:11.952, 80.70 W, 0 %
2026/03/16 23:40:12.052, 80.73 W, 0 %
2026/03/16 23:40:12.152, 80.75 W, 0 %
2026/03/16 23:40:12.252, 80.70 W, 0 %
2026/03/16 23:40:12.352, 80.64 W, 0 %
2026/03/16 23:40:12.452, 80.53 W, 0 %
2026/03/16 23:40:12.552, 80.54 W, 0 %
2026/03/16 23:40:12.653, 80.58 W, 0 %
2026/03/16 23:40:12.753, 80.50 W, 0 %
2026/03/16 23:40:12.853, 80.42 W, 0 %
2026/03/16 23:40:12.953, 80.42 W, 0 %
2026/03/16 23:40:13.053, 80.38 W, 0 %
2026/03/16 23:40:13.153, 80.42 W, 0 %
2026/03/16 23:40:13.253, 80.41 W, 0 %
2026/03/16 23:40:13.354, 80.36 W, 0 %
2026/03/16 23:40:13.454, 80.36 W, 0 %
2026/03/16 23:40:13.554, 80.30 W, 0 %
2026/03/16 23:40:13.654, 80.32 W, 0 %
2026/03/16 23:40:13.754, 80.45 W, 0 %
2026/03/16 23:40:13.854, 80.57 W, 0 %
2026/03/16 23:40:13.955, 80.70 W, 24 %
2026/03/16 23:40:14.055, 80.77 W, 24 %
2026/03/16 23:40:14.155, 80.75 W, 0 %
2026/03/16 23:40:14.255, 80.89 W, 0 %
2026/03/16 23:40:14.355, 80.93 W, 1 %
2026/03/16 23:40:14.455, 80.90 W, 1 %
2026/03/16 23:40:14.555, 80.92 W, 0 %
2026/03/16 23:40:14.656, 80.92 W, 0 %
2026/03/16 23:40:14.756, 80.94 W, 0 %
2026/03/16 23:40:14.856, 80.85 W, 0 %
2026/03/16 23:40:14.956, 80.65 W, 0 %
2026/03/16 23:40:15.056, 80.57 W, 0 %
2026/03/16 23:40:15.156, 80.52 W, 0 %
2026/03/16 23:40:15.256, 80.48 W, 0 %
2026/03/16 23:40:15.357, 80.50 W, 0 %
2026/03/16 23:40:15.457, 80.49 W, 0 %
2026/03/16 23:40:15.557, 80.46 W, 0 %
2026/03/16 23:40:15.657, 80.41 W, 0 %
2026/03/16 23:40:15.757, 80.37 W, 0 %
2026/03/16 23:40:15.857, 80.46 W, 0 %
2026/03/16 23:40:15.958, 80.40 W, 0 %
2026/03/16 23:40:16.058, 80.42 W, 1 %
2026/03/16 23:40:16.158, 80.62 W, 1 %
2026/03/16 23:40:16.258, 83.56 W, 36 %
2026/03/16 23:40:16.358, 89.35 W, 36 %
2026/03/16 23:40:16.458, 95.39 W, 100 %
2026/03/16 23:40:16.558, 101.72 W, 100 %
2026/03/16 23:40:16.659, 107.65 W, 100 %
2026/03/16 23:40:16.759, 113.57 W, 100 %
2026/03/16 23:40:16.859, 113.57 W, 100 %
2026/03/16 23:40:16.959, 124.97 W, 100 %
2026/03/16 23:40:17.059, 131.96 W, 100 %
2026/03/16 23:40:17.159, 136.56 W, 100 %
2026/03/16 23:40:17.260, 140.52 W, 100 %
2026/03/16 23:40:17.360, 140.65 W, 100 %
2026/03/16 23:40:17.460, 140.63 W, 100 %
2026/03/16 23:40:17.560, 140.71 W, 100 %
2026/03/16 23:40:17.660, 140.69 W, 100 %
2026/03/16 23:40:17.760, 140.77 W, 100 %
2026/03/16 23:40:17.860, 139.87 W, 100 %
2026/03/16 23:40:17.961, 138.18 W, 100 %
2026/03/16 23:40:18.061, 138.17 W, 100 %
2026/03/16 23:40:18.161, 137.98 W, 100 %
2026/03/16 23:40:18.261, 138.07 W, 100 %
2026/03/16 23:40:18.361, 138.26 W, 100 %
2026/03/16 23:40:18.461, 138.44 W, 100 %
2026/03/16 23:40:18.561, 138.55 W, 100 %
2026/03/16 23:40:18.662, 138.15 W, 100 %
2026/03/16 23:40:18.762, 138.04 W, 100 %
2026/03/16 23:40:18.862, 138.73 W, 100 %
2026/03/16 23:40:18.962, 140.17 W, 100 %
2026/03/16 23:40:19.062, 140.57 W, 100 %
2026/03/16 23:40:19.162, 140.76 W, 100 %
2026/03/16 23:40:19.262, 140.71 W, 100 %
2026/03/16 23:40:19.363, 140.60 W, 100 %
2026/03/16 23:40:19.463, 140.46 W, 100 %
2026/03/16 23:40:19.563, 139.85 W, 100 %
2026/03/16 23:40:19.663, 139.03 W, 76 %
2026/03/16 23:40:19.763, 138.86 W, 76 %
2026/03/16 23:40:19.863, 138.79 W, 100 %
2026/03/16 23:40:19.963, 138.82 W, 100 %
2026/03/16 23:40:20.064, 138.93 W, 100 %
2026/03/16 23:40:20.164, 138.95 W, 100 %
2026/03/16 23:40:20.264, 138.70 W, 100 %
2026/03/16 23:40:20.364, 138.54 W, 100 %
2026/03/16 23:40:20.464, 138.51 W, 100 %
2026/03/16 23:40:20.564, 138.68 W, 100 %
2026/03/16 23:40:20.665, 140.42 W, 100 %
2026/03/16 23:40:20.765, 140.54 W, 100 %
2026/03/16 23:40:20.865, 140.63 W, 100 %
2026/03/16 23:40:20.965, 140.53 W, 100 %
2026/03/16 23:40:21.065, 140.42 W, 100 %
2026/03/16 23:40:21.165, 140.57 W, 100 %
2026/03/16 23:40:21.265, 139.15 W, 86 %
2026/03/16 23:40:21.366, 138.79 W, 86 %
2026/03/16 23:40:21.466, 138.71 W, 100 %
2026/03/16 23:40:21.566, 138.43 W, 100 %
2026/03/16 23:40:21.666, 138.64 W, 100 %
2026/03/16 23:40:21.766, 138.77 W, 100 %
2026/03/16 23:40:21.866, 138.97 W, 100 %
2026/03/16 23:40:21.967, 139.00 W, 100 %
2026/03/16 23:40:22.067, 138.85 W, 100 %
