timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 03:12:20.755, 122.09 W, 99 %
2026/03/17 03:12:20.856, 117.54 W, 2 %
2026/03/17 03:12:20.957, 111.51 W, 2 %
2026/03/17 03:12:21.057, 108.29 W, 0 %
2026/03/17 03:12:21.157, 103.22 W, 0 %
2026/03/17 03:12:21.257, 99.08 W, 0 %
2026/03/17 03:12:21.357, 94.24 W, 0 %
2026/03/17 03:12:21.457, 89.66 W, 2 %
2026/03/17 03:12:21.558, 83.90 W, 2 %
2026/03/17 03:12:21.658, 82.00 W, 0 %
2026/03/17 03:12:21.758, 81.90 W, 0 %
2026/03/17 03:12:21.858, 81.92 W, 0 %
2026/03/17 03:12:21.958, 81.85 W, 0 %
2026/03/17 03:12:22.058, 81.68 W, 0 %
2026/03/17 03:12:22.158, 81.55 W, 0 %
2026/03/17 03:12:22.259, 81.41 W, 0 %
2026/03/17 03:12:22.359, 81.37 W, 0 %
2026/03/17 03:12:22.459, 81.44 W, 0 %
2026/03/17 03:12:22.559, 81.55 W, 0 %
2026/03/17 03:12:22.659, 81.53 W, 24 %
2026/03/17 03:12:22.759, 81.49 W, 24 %
2026/03/17 03:12:22.860, 81.45 W, 1 %
2026/03/17 03:12:22.960, 81.54 W, 1 %
2026/03/17 03:12:23.060, 81.58 W, 0 %
2026/03/17 03:12:23.160, 81.55 W, 0 %
2026/03/17 03:12:23.260, 81.51 W, 0 %
2026/03/17 03:12:23.360, 81.48 W, 0 %
2026/03/17 03:12:23.460, 81.51 W, 0 %
2026/03/17 03:12:23.561, 81.52 W, 0 %
2026/03/17 03:12:23.661, 83.47 W, 2 %
2026/03/17 03:12:23.761, 89.48 W, 2 %
2026/03/17 03:12:23.861, 95.19 W, 99 %
2026/03/17 03:12:23.961, 100.62 W, 99 %
2026/03/17 03:12:24.061, 106.53 W, 99 %
2026/03/17 03:12:24.162, 111.82 W, 99 %
2026/03/17 03:12:24.262, 117.95 W, 87 %
2026/03/17 03:12:24.362, 123.89 W, 87 %
2026/03/17 03:12:24.462, 128.98 W, 99 %
2026/03/17 03:12:24.562, 135.81 W, 99 %
2026/03/17 03:12:24.662, 139.65 W, 99 %
2026/03/17 03:12:24.762, 139.20 W, 99 %
2026/03/17 03:12:24.863, 139.37 W, 96 %
2026/03/17 03:12:24.963, 139.40 W, 96 %
2026/03/17 03:12:25.063, 139.08 W, 99 %
2026/03/17 03:12:25.163, 139.63 W, 99 %
2026/03/17 03:12:25.263, 139.65 W, 99 %
2026/03/17 03:12:25.363, 139.42 W, 99 %
