timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 03:59:44.035, 138.93 W, 18 %
2026/03/17 03:59:44.137, 131.73 W, 2 %
2026/03/17 03:59:44.237, 125.43 W, 2 %
2026/03/17 03:59:44.337, 117.72 W, 0 %
2026/03/17 03:59:44.437, 110.67 W, 0 %
2026/03/17 03:59:44.538, 104.70 W, 0 %
2026/03/17 03:59:44.638, 96.64 W, 0 %
2026/03/17 03:59:44.738, 90.82 W, 0 %
2026/03/17 03:59:44.838, 83.77 W, 0 %
2026/03/17 03:59:44.938, 82.59 W, 0 %
2026/03/17 03:59:45.038, 82.22 W, 0 %
2026/03/17 03:59:45.138, 81.99 W, 0 %
2026/03/17 03:59:45.239, 81.80 W, 0 %
2026/03/17 03:59:45.339, 81.65 W, 0 %
2026/03/17 03:59:45.439, 81.61 W, 0 %
2026/03/17 03:59:45.539, 81.60 W, 0 %
2026/03/17 03:59:45.639, 81.51 W, 0 %
2026/03/17 03:59:45.739, 81.40 W, 0 %
2026/03/17 03:59:45.840, 81.29 W, 0 %
2026/03/17 03:59:45.940, 81.32 W, 0 %
2026/03/17 03:59:46.040, 81.41 W, 0 %
2026/03/17 03:59:46.140, 81.45 W, 0 %
2026/03/17 03:59:46.240, 81.48 W, 0 %
2026/03/17 03:59:46.340, 81.38 W, 0 %
2026/03/17 03:59:46.440, 81.37 W, 0 %
2026/03/17 03:59:46.541, 81.41 W, 0 %
2026/03/17 03:59:46.641, 81.49 W, 0 %
2026/03/17 03:59:46.741, 81.51 W, 0 %
2026/03/17 03:59:46.841, 81.47 W, 0 %
2026/03/17 03:59:46.941, 81.36 W, 0 %
2026/03/17 03:59:47.041, 81.36 W, 0 %
2026/03/17 03:59:47.141, 81.43 W, 0 %
2026/03/17 03:59:47.242, 81.47 W, 0 %
2026/03/17 03:59:47.342, 81.47 W, 0 %
2026/03/17 03:59:47.442, 81.41 W, 0 %
2026/03/17 03:59:47.542, 81.50 W, 21 %
2026/03/17 03:59:47.642, 81.59 W, 21 %
2026/03/17 03:59:47.742, 81.66 W, 0 %
2026/03/17 03:59:47.842, 81.71 W, 0 %
2026/03/17 03:59:47.943, 81.67 W, 1 %
2026/03/17 03:59:48.043, 81.59 W, 1 %
2026/03/17 03:59:48.143, 81.52 W, 0 %
2026/03/17 03:59:48.243, 81.58 W, 0 %
2026/03/17 03:59:48.343, 81.64 W, 0 %
2026/03/17 03:59:48.443, 81.65 W, 0 %
2026/03/17 03:59:48.543, 81.43 W, 0 %
2026/03/17 03:59:48.644, 81.24 W, 0 %
2026/03/17 03:59:48.744, 81.23 W, 0 %
2026/03/17 03:59:48.844, 81.30 W, 0 %
2026/03/17 03:59:48.944, 81.36 W, 0 %
2026/03/17 03:59:49.044, 81.39 W, 0 %
2026/03/17 03:59:49.144, 81.31 W, 0 %
2026/03/17 03:59:49.244, 81.25 W, 0 %
2026/03/17 03:59:49.345, 81.30 W, 0 %
2026/03/17 03:59:49.445, 81.46 W, 0 %
2026/03/17 03:59:49.545, 81.44 W, 0 %
2026/03/17 03:59:49.645, 81.36 W, 0 %
2026/03/17 03:59:49.745, 81.36 W, 0 %
2026/03/17 03:59:49.845, 81.34 W, 0 %
2026/03/17 03:59:49.946, 81.73 W, 7 %
2026/03/17 03:59:50.046, 86.91 W, 7 %
2026/03/17 03:59:50.146, 93.73 W, 100 %
2026/03/17 03:59:50.246, 107.33 W, 100 %
2026/03/17 03:59:50.346, 115.11 W, 100 %
2026/03/17 03:59:50.446, 121.98 W, 100 %
2026/03/17 03:59:50.546, 128.97 W, 100 %
2026/03/17 03:59:50.647, 134.92 W, 100 %
2026/03/17 03:59:50.747, 134.92 W, 100 %
2026/03/17 03:59:50.847, 148.40 W, 100 %
2026/03/17 03:59:50.947, 151.49 W, 100 %
2026/03/17 03:59:51.047, 151.53 W, 100 %
2026/03/17 03:59:51.147, 151.43 W, 100 %
2026/03/17 03:59:51.247, 151.40 W, 100 %
2026/03/17 03:59:51.348, 151.12 W, 100 %
2026/03/17 03:59:51.448, 151.31 W, 100 %
2026/03/17 03:59:51.548, 151.33 W, 100 %
2026/03/17 03:59:51.648, 151.31 W, 100 %
2026/03/17 03:59:51.748, 151.31 W, 100 %
2026/03/17 03:59:51.848, 151.13 W, 100 %
2026/03/17 03:59:51.949, 150.86 W, 100 %
2026/03/17 03:59:52.049, 151.25 W, 100 %
2026/03/17 03:59:52.149, 151.49 W, 100 %
2026/03/17 03:59:52.249, 151.66 W, 100 %
2026/03/17 03:59:52.349, 151.68 W, 100 %
2026/03/17 03:59:52.449, 151.57 W, 100 %
2026/03/17 03:59:52.549, 151.78 W, 100 %
2026/03/17 03:59:52.650, 151.84 W, 100 %
2026/03/17 03:59:52.750, 151.84 W, 100 %
2026/03/17 03:59:52.850, 152.34 W, 100 %
2026/03/17 03:59:52.950, 152.42 W, 100 %
2026/03/17 03:59:53.050, 152.15 W, 100 %
2026/03/17 03:59:53.150, 152.15 W, 100 %
2026/03/17 03:59:53.250, 152.01 W, 100 %
2026/03/17 03:59:53.351, 151.81 W, 100 %
2026/03/17 03:59:53.451, 151.93 W, 100 %
2026/03/17 03:59:53.551, 151.74 W, 100 %
2026/03/17 03:59:53.651, 151.58 W, 100 %
2026/03/17 03:59:53.751, 151.67 W, 100 %
2026/03/17 03:59:53.851, 151.40 W, 100 %
2026/03/17 03:59:53.952, 151.41 W, 100 %
2026/03/17 03:59:54.052, 151.32 W, 100 %
2026/03/17 03:59:54.152, 151.32 W, 100 %
2026/03/17 03:59:54.252, 151.46 W, 100 %
2026/03/17 03:59:54.352, 151.76 W, 100 %
2026/03/17 03:59:54.452, 151.75 W, 100 %
2026/03/17 03:59:54.553, 151.66 W, 100 %
2026/03/17 03:59:54.653, 151.85 W, 100 %
2026/03/17 03:59:54.753, 151.69 W, 100 %
2026/03/17 03:59:54.853, 151.88 W, 100 %
2026/03/17 03:59:54.953, 152.10 W, 100 %
2026/03/17 03:59:55.053, 152.15 W, 100 %
2026/03/17 03:59:55.153, 152.29 W, 100 %
2026/03/17 03:59:55.254, 152.11 W, 100 %
2026/03/17 03:59:55.354, 152.06 W, 100 %
2026/03/17 03:59:55.454, 151.86 W, 100 %
2026/03/17 03:59:55.554, 151.98 W, 100 %
2026/03/17 03:59:55.654, 152.15 W, 100 %
2026/03/17 03:59:55.754, 152.23 W, 100 %
2026/03/17 03:59:55.855, 152.18 W, 100 %
2026/03/17 03:59:55.955, 152.12 W, 100 %
2026/03/17 03:59:56.055, 152.14 W, 100 %
2026/03/17 03:59:56.155, 151.92 W, 100 %
2026/03/17 03:59:56.255, 152.01 W, 100 %
2026/03/17 03:59:56.355, 151.82 W, 100 %
2026/03/17 03:59:56.455, 152.08 W, 100 %
2026/03/17 03:59:56.556, 151.98 W, 100 %
2026/03/17 03:59:56.656, 152.09 W, 100 %
2026/03/17 03:59:56.756, 152.01 W, 100 %
2026/03/17 03:59:56.856, 152.17 W, 100 %
2026/03/17 03:59:56.956, 151.96 W, 100 %
2026/03/17 03:59:57.056, 151.86 W, 100 %
2026/03/17 03:59:57.156, 151.88 W, 100 %
2026/03/17 03:59:57.257, 151.79 W, 100 %
2026/03/17 03:59:57.357, 151.94 W, 100 %
2026/03/17 03:59:57.457, 151.94 W, 100 %
2026/03/17 03:59:57.557, 151.68 W, 100 %
2026/03/17 03:59:57.657, 151.63 W, 100 %
2026/03/17 03:59:57.757, 151.68 W, 100 %
2026/03/17 03:59:57.857, 151.89 W, 100 %
2026/03/17 03:59:57.958, 151.80 W, 100 %
2026/03/17 03:59:58.058, 151.98 W, 100 %
2026/03/17 03:59:58.158, 151.81 W, 100 %
2026/03/17 03:59:58.258, 152.00 W, 100 %
2026/03/17 03:59:58.358, 151.94 W, 100 %
2026/03/17 03:59:58.458, 151.94 W, 100 %
2026/03/17 03:59:58.558, 152.09 W, 100 %
2026/03/17 03:59:58.659, 152.05 W, 100 %
2026/03/17 03:59:58.759, 152.14 W, 100 %
2026/03/17 03:59:58.859, 151.82 W, 100 %
2026/03/17 03:59:58.959, 151.94 W, 100 %
2026/03/17 03:59:59.059, 152.06 W, 100 %
2026/03/17 03:59:59.159, 151.80 W, 100 %
2026/03/17 03:59:59.259, 151.61 W, 100 %
2026/03/17 03:59:59.360, 151.70 W, 100 %
2026/03/17 03:59:59.460, 151.78 W, 100 %
2026/03/17 03:59:59.560, 151.82 W, 100 %
2026/03/17 03:59:59.660, 151.61 W, 100 %
2026/03/17 03:59:59.760, 151.69 W, 100 %
2026/03/17 03:59:59.860, 151.96 W, 100 %
2026/03/17 03:59:59.961, 151.88 W, 100 %
2026/03/17 04:00:00.061, 151.75 W, 100 %
2026/03/17 04:00:00.161, 152.43 W, 100 %
2026/03/17 04:00:00.261, 152.21 W, 100 %
2026/03/17 04:00:00.361, 152.22 W, 100 %
2026/03/17 04:00:00.461, 152.02 W, 100 %
2026/03/17 04:00:00.561, 151.93 W, 100 %
2026/03/17 04:00:00.662, 152.10 W, 100 %
2026/03/17 04:00:00.762, 152.29 W, 100 %
2026/03/17 04:00:00.862, 152.17 W, 100 %
2026/03/17 04:00:00.962, 152.25 W, 100 %
2026/03/17 04:00:01.062, 152.42 W, 100 %
2026/03/17 04:00:01.162, 152.17 W, 100 %
2026/03/17 04:00:01.262, 152.26 W, 100 %
2026/03/17 04:00:01.363, 152.41 W, 100 %
2026/03/17 04:00:01.463, 152.55 W, 100 %
2026/03/17 04:00:01.563, 152.71 W, 100 %
2026/03/17 04:00:01.663, 152.27 W, 100 %
2026/03/17 04:00:01.763, 152.01 W, 100 %
2026/03/17 04:00:01.863, 151.99 W, 100 %
2026/03/17 04:00:01.963, 151.94 W, 100 %
2026/03/17 04:00:02.064, 151.85 W, 100 %
2026/03/17 04:00:02.164, 151.83 W, 100 %
2026/03/17 04:00:02.264, 151.88 W, 100 %
2026/03/17 04:00:02.364, 151.48 W, 100 %
2026/03/17 04:00:02.464, 151.54 W, 100 %
2026/03/17 04:00:02.564, 151.54 W, 100 %
2026/03/17 04:00:02.665, 151.71 W, 100 %
2026/03/17 04:00:02.765, 151.72 W, 100 %
2026/03/17 04:00:02.865, 151.82 W, 100 %
2026/03/17 04:00:02.965, 151.93 W, 100 %
2026/03/17 04:00:03.065, 151.64 W, 100 %
