timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 08:52:46.756, 83.15 W, 48 %
2026/03/17 08:52:46.858, 83.15 W, 48 %
2026/03/17 08:52:46.958, 83.17 W, 48 %
2026/03/17 08:52:47.059, 83.09 W, 0 %
2026/03/17 08:52:47.159, 82.98 W, 0 %
2026/03/17 08:52:47.259, 82.86 W, 0 %
2026/03/17 08:52:47.359, 82.73 W, 0 %
2026/03/17 08:52:47.459, 82.67 W, 0 %
2026/03/17 08:52:47.559, 82.61 W, 0 %
2026/03/17 08:52:47.659, 82.47 W, 0 %
2026/03/17 08:52:47.760, 82.43 W, 0 %
2026/03/17 08:52:47.860, 83.97 W, 45 %
2026/03/17 08:52:47.960, 86.50 W, 45 %
2026/03/17 08:52:48.060, 89.07 W, 98 %
2026/03/17 08:52:48.160, 91.50 W, 98 %
2026/03/17 08:52:48.260, 93.95 W, 98 %
2026/03/17 08:52:48.360, 96.39 W, 98 %
2026/03/17 08:52:48.461, 98.82 W, 98 %
2026/03/17 08:52:48.561, 101.79 W, 98 %
2026/03/17 08:52:48.661, 104.46 W, 98 %
2026/03/17 08:52:48.761, 106.53 W, 98 %
2026/03/17 08:52:48.861, 107.82 W, 98 %
2026/03/17 08:52:48.961, 107.81 W, 98 %
2026/03/17 08:52:49.062, 107.83 W, 98 %
2026/03/17 08:52:49.162, 107.89 W, 98 %
2026/03/17 08:52:49.262, 107.94 W, 98 %
2026/03/17 08:52:49.362, 108.02 W, 98 %
2026/03/17 08:52:49.462, 108.05 W, 98 %
2026/03/17 08:52:49.562, 108.02 W, 98 %
2026/03/17 08:52:49.662, 108.00 W, 98 %
2026/03/17 08:52:49.763, 108.04 W, 98 %
2026/03/17 08:52:49.863, 108.05 W, 98 %
2026/03/17 08:52:49.963, 107.99 W, 98 %
2026/03/17 08:52:50.063, 107.90 W, 98 %
2026/03/17 08:52:50.163, 107.87 W, 98 %
2026/03/17 08:52:50.263, 107.90 W, 98 %
2026/03/17 08:52:50.364, 107.97 W, 98 %
2026/03/17 08:52:50.464, 107.91 W, 98 %
2026/03/17 08:52:50.564, 107.89 W, 98 %
2026/03/17 08:52:50.664, 107.81 W, 98 %
2026/03/17 08:52:50.764, 107.83 W, 98 %
2026/03/17 08:52:50.864, 107.89 W, 98 %
2026/03/17 08:52:50.964, 107.87 W, 98 %
2026/03/17 08:52:51.065, 107.82 W, 98 %
2026/03/17 08:52:51.165, 107.80 W, 98 %
2026/03/17 08:52:51.265, 107.69 W, 98 %
2026/03/17 08:52:51.365, 107.73 W, 98 %
2026/03/17 08:52:51.465, 107.76 W, 98 %
2026/03/17 08:52:51.565, 107.68 W, 98 %
2026/03/17 08:52:51.666, 107.65 W, 98 %
2026/03/17 08:52:51.766, 107.67 W, 98 %
2026/03/17 08:52:51.866, 107.63 W, 98 %
2026/03/17 08:52:51.966, 107.72 W, 98 %
2026/03/17 08:52:52.066, 107.78 W, 98 %
2026/03/17 08:52:52.166, 107.80 W, 98 %
2026/03/17 08:52:52.266, 107.77 W, 98 %
2026/03/17 08:52:52.367, 107.76 W, 98 %
2026/03/17 08:52:52.467, 107.75 W, 98 %
2026/03/17 08:52:52.567, 107.93 W, 98 %
2026/03/17 08:52:52.667, 107.73 W, 92 %
2026/03/17 08:52:52.767, 107.69 W, 92 %
2026/03/17 08:52:52.867, 107.75 W, 98 %
2026/03/17 08:52:52.968, 107.79 W, 98 %
2026/03/17 08:52:53.068, 107.77 W, 98 %
2026/03/17 08:52:53.168, 107.81 W, 98 %
2026/03/17 08:52:53.268, 107.71 W, 98 %
2026/03/17 08:52:53.368, 107.62 W, 98 %
2026/03/17 08:52:53.468, 107.61 W, 98 %
2026/03/17 08:52:53.569, 107.61 W, 98 %
2026/03/17 08:52:53.669, 107.88 W, 98 %
2026/03/17 08:52:53.769, 107.93 W, 98 %
2026/03/17 08:52:53.869, 107.82 W, 98 %
2026/03/17 08:52:53.969, 107.78 W, 98 %
2026/03/17 08:52:54.069, 107.76 W, 98 %
2026/03/17 08:52:54.169, 107.89 W, 98 %
