timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 10:01:28.146, 139.41 W, 4 %
2026/03/17 10:01:28.248, 131.33 W, 4 %
2026/03/17 10:01:28.348, 124.32 W, 0 %
2026/03/17 10:01:28.448, 116.90 W, 0 %
2026/03/17 10:01:28.548, 108.71 W, 0 %
2026/03/17 10:01:28.649, 102.07 W, 0 %
2026/03/17 10:01:28.749, 94.57 W, 6 %
2026/03/17 10:01:28.849, 87.12 W, 6 %
2026/03/17 10:01:28.949, 84.90 W, 27 %
2026/03/17 10:01:29.049, 87.16 W, 27 %
2026/03/17 10:01:29.149, 89.42 W, 95 %
2026/03/17 10:01:29.249, 91.62 W, 95 %
2026/03/17 10:01:29.350, 93.70 W, 95 %
2026/03/17 10:01:29.450, 95.77 W, 95 %
2026/03/17 10:01:29.550, 98.05 W, 94 %
2026/03/17 10:01:29.650, 100.81 W, 94 %
2026/03/17 10:01:29.750, 102.71 W, 95 %
2026/03/17 10:01:29.850, 105.42 W, 95 %
2026/03/17 10:01:29.950, 105.92 W, 95 %
2026/03/17 10:01:30.051, 105.68 W, 95 %
2026/03/17 10:01:30.151, 105.72 W, 94 %
2026/03/17 10:01:30.251, 105.89 W, 94 %
2026/03/17 10:01:30.351, 105.78 W, 88 %
2026/03/17 10:01:30.451, 105.81 W, 88 %
2026/03/17 10:01:30.551, 105.86 W, 95 %
2026/03/17 10:01:30.652, 105.80 W, 95 %
2026/03/17 10:01:30.752, 105.97 W, 95 %
2026/03/17 10:01:30.852, 106.06 W, 95 %
2026/03/17 10:01:30.952, 106.23 W, 95 %
2026/03/17 10:01:31.052, 106.22 W, 95 %
2026/03/17 10:01:31.152, 106.20 W, 94 %
2026/03/17 10:01:31.252, 106.25 W, 94 %
2026/03/17 10:01:31.353, 106.56 W, 95 %
2026/03/17 10:01:31.453, 106.61 W, 95 %
2026/03/17 10:01:31.553, 106.29 W, 95 %
2026/03/17 10:01:31.653, 106.18 W, 95 %
2026/03/17 10:01:31.753, 106.11 W, 95 %
2026/03/17 10:01:31.853, 106.16 W, 95 %
2026/03/17 10:01:31.954, 106.19 W, 95 %
2026/03/17 10:01:32.054, 106.19 W, 95 %
2026/03/17 10:01:32.154, 106.15 W, 95 %
2026/03/17 10:01:32.254, 106.09 W, 95 %
2026/03/17 10:01:32.354, 105.91 W, 94 %
2026/03/17 10:01:32.454, 105.99 W, 94 %
2026/03/17 10:01:32.554, 106.17 W, 95 %
2026/03/17 10:01:32.655, 106.21 W, 95 %
2026/03/17 10:01:32.755, 106.32 W, 95 %
2026/03/17 10:01:32.855, 106.15 W, 95 %
2026/03/17 10:01:32.955, 106.17 W, 94 %
2026/03/17 10:01:33.055, 106.10 W, 94 %
2026/03/17 10:01:33.155, 106.14 W, 95 %
2026/03/17 10:01:33.255, 105.92 W, 95 %
2026/03/17 10:01:33.356, 105.90 W, 95 %
2026/03/17 10:01:33.456, 105.84 W, 95 %
2026/03/17 10:01:33.556, 105.78 W, 95 %
2026/03/17 10:01:33.656, 105.84 W, 95 %
