timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 17:42:43.217, 170.51 W, 10 %
2026/03/17 17:42:43.319, 158.94 W, 10 %
2026/03/17 17:42:43.419, 146.34 W, 0 %
2026/03/17 17:42:43.520, 134.44 W, 0 %
2026/03/17 17:42:43.620, 124.07 W, 0 %
2026/03/17 17:42:43.720, 112.12 W, 2 %
2026/03/17 17:42:43.820, 100.44 W, 2 %
2026/03/17 17:42:43.920, 86.23 W, 0 %
2026/03/17 17:42:44.020, 85.05 W, 0 %
2026/03/17 17:42:44.121, 87.44 W, 13 %
2026/03/17 17:42:44.221, 93.41 W, 13 %
2026/03/17 17:42:44.321, 99.29 W, 94 %
2026/03/17 17:42:44.421, 105.52 W, 94 %
2026/03/17 17:42:44.521, 111.82 W, 92 %
2026/03/17 17:42:44.621, 118.73 W, 92 %
2026/03/17 17:42:44.722, 125.12 W, 94 %
2026/03/17 17:42:44.822, 131.36 W, 94 %
2026/03/17 17:42:44.922, 136.70 W, 93 %
2026/03/17 17:42:45.022, 143.90 W, 93 %
2026/03/17 17:42:45.122, 147.57 W, 92 %
2026/03/17 17:42:45.222, 147.76 W, 92 %
2026/03/17 17:42:45.322, 148.06 W, 92 %
2026/03/17 17:42:45.423, 147.97 W, 92 %
2026/03/17 17:42:45.523, 147.85 W, 94 %
2026/03/17 17:42:45.623, 147.94 W, 94 %
2026/03/17 17:42:45.723, 148.10 W, 94 %
2026/03/17 17:42:45.823, 148.09 W, 94 %
2026/03/17 17:42:45.923, 147.65 W, 94 %
2026/03/17 17:42:46.024, 147.66 W, 94 %
2026/03/17 17:42:46.124, 147.67 W, 94 %
2026/03/17 17:42:46.224, 147.59 W, 94 %
2026/03/17 17:42:46.324, 147.66 W, 94 %
2026/03/17 17:42:46.424, 147.17 W, 94 %
2026/03/17 17:42:46.524, 147.25 W, 86 %
2026/03/17 17:42:46.624, 147.24 W, 86 %
2026/03/17 17:42:46.725, 147.14 W, 93 %
2026/03/17 17:42:46.825, 147.21 W, 93 %
2026/03/17 17:42:46.925, 147.55 W, 93 %
2026/03/17 17:42:47.025, 147.79 W, 93 %
2026/03/17 17:42:47.125, 147.70 W, 94 %
2026/03/17 17:42:47.225, 147.61 W, 94 %
2026/03/17 17:42:47.325, 147.54 W, 94 %
2026/03/17 17:42:47.425, 147.84 W, 94 %
2026/03/17 17:42:47.526, 147.98 W, 93 %
2026/03/17 17:42:47.626, 147.94 W, 93 %
2026/03/17 17:42:47.726, 147.75 W, 92 %
2026/03/17 17:42:47.826, 147.84 W, 92 %
2026/03/17 17:42:47.926, 148.00 W, 94 %
2026/03/17 17:42:48.026, 148.00 W, 94 %
2026/03/17 17:42:48.126, 148.16 W, 94 %
2026/03/17 17:42:48.227, 148.10 W, 94 %
2026/03/17 17:42:48.327, 148.16 W, 94 %
2026/03/17 17:42:48.427, 148.38 W, 94 %
2026/03/17 17:42:48.527, 148.40 W, 94 %
2026/03/17 17:42:48.627, 148.46 W, 94 %
2026/03/17 17:42:48.727, 148.19 W, 94 %
2026/03/17 17:42:48.827, 148.09 W, 94 %
2026/03/17 17:42:48.928, 147.98 W, 92 %
2026/03/17 17:42:49.028, 148.09 W, 92 %
2026/03/17 17:42:49.128, 148.23 W, 94 %
2026/03/17 17:42:49.228, 148.26 W, 94 %
2026/03/17 17:42:49.328, 148.14 W, 93 %
2026/03/17 17:42:49.428, 147.82 W, 93 %
2026/03/17 17:42:49.529, 147.82 W, 94 %
2026/03/17 17:42:49.629, 147.96 W, 94 %
2026/03/17 17:42:49.729, 148.18 W, 93 %
2026/03/17 17:42:49.829, 148.45 W, 93 %
2026/03/17 17:42:49.929, 148.30 W, 94 %
2026/03/17 17:42:50.029, 148.07 W, 94 %
2026/03/17 17:42:50.129, 148.10 W, 94 %
2026/03/17 17:42:50.230, 147.82 W, 94 %
2026/03/17 17:42:50.330, 147.97 W, 94 %
2026/03/17 17:42:50.430, 148.21 W, 94 %
2026/03/17 17:42:50.530, 147.79 W, 93 %
2026/03/17 17:42:50.630, 147.37 W, 93 %
2026/03/17 17:42:50.730, 147.52 W, 95 %
2026/03/17 17:42:50.830, 147.48 W, 95 %
2026/03/17 17:42:50.931, 147.54 W, 94 %
2026/03/17 17:42:51.031, 147.33 W, 94 %
2026/03/17 17:42:51.131, 147.13 W, 90 %
2026/03/17 17:42:51.231, 147.18 W, 90 %
2026/03/17 17:42:51.331, 147.16 W, 92 %
2026/03/17 17:42:51.431, 147.03 W, 92 %
2026/03/17 17:42:51.531, 147.40 W, 93 %
2026/03/17 17:42:51.632, 147.70 W, 93 %
2026/03/17 17:42:51.732, 147.78 W, 94 %
2026/03/17 17:42:51.832, 147.58 W, 94 %
2026/03/17 17:42:51.932, 147.71 W, 94 %
2026/03/17 17:42:52.032, 147.92 W, 94 %
2026/03/17 17:42:52.132, 148.15 W, 94 %
2026/03/17 17:42:52.233, 148.29 W, 94 %
2026/03/17 17:42:52.333, 148.22 W, 93 %
2026/03/17 17:42:52.433, 148.22 W, 93 %
2026/03/17 17:42:52.533, 148.24 W, 94 %
2026/03/17 17:42:52.633, 148.23 W, 94 %
2026/03/17 17:42:52.733, 148.09 W, 93 %
2026/03/17 17:42:52.833, 148.16 W, 93 %
2026/03/17 17:42:52.934, 148.25 W, 94 %
2026/03/17 17:42:53.034, 148.14 W, 94 %
2026/03/17 17:42:53.134, 148.07 W, 94 %
2026/03/17 17:42:53.234, 148.01 W, 94 %
2026/03/17 17:42:53.334, 147.63 W, 87 %
2026/03/17 17:42:53.434, 147.55 W, 87 %
2026/03/17 17:42:53.535, 147.52 W, 94 %
2026/03/17 17:42:53.635, 147.44 W, 94 %
2026/03/17 17:42:53.735, 147.70 W, 94 %
2026/03/17 17:42:53.835, 147.66 W, 94 %
2026/03/17 17:42:53.935, 147.66 W, 94 %
2026/03/17 17:42:54.035, 147.84 W, 94 %
2026/03/17 17:42:54.135, 147.70 W, 94 %
2026/03/17 17:42:54.236, 147.94 W, 94 %
2026/03/17 17:42:54.336, 148.74 W, 93 %
2026/03/17 17:42:54.436, 148.96 W, 93 %
2026/03/17 17:42:54.536, 149.09 W, 94 %
2026/03/17 17:42:54.636, 149.07 W, 94 %
2026/03/17 17:42:54.736, 148.82 W, 94 %
2026/03/17 17:42:54.836, 148.67 W, 94 %
2026/03/17 17:42:54.937, 148.50 W, 94 %
2026/03/17 17:42:55.037, 148.49 W, 94 %
2026/03/17 17:42:55.137, 148.37 W, 95 %
2026/03/17 17:42:55.237, 148.26 W, 95 %
2026/03/17 17:42:55.337, 148.21 W, 94 %
2026/03/17 17:42:55.437, 147.89 W, 94 %
2026/03/17 17:42:55.538, 148.08 W, 93 %
2026/03/17 17:42:55.638, 147.60 W, 93 %
2026/03/17 17:42:55.738, 147.67 W, 94 %
2026/03/17 17:42:55.838, 147.80 W, 94 %
2026/03/17 17:42:55.938, 147.67 W, 94 %
2026/03/17 17:42:56.038, 147.68 W, 94 %
2026/03/17 17:42:56.138, 147.90 W, 93 %
2026/03/17 17:42:56.239, 148.01 W, 93 %
2026/03/17 17:42:56.339, 147.74 W, 94 %
2026/03/17 17:42:56.439, 147.60 W, 94 %
2026/03/17 17:42:56.539, 147.04 W, 94 %
2026/03/17 17:42:56.639, 147.55 W, 94 %
2026/03/17 17:42:56.739, 147.62 W, 94 %
2026/03/17 17:42:56.840, 147.28 W, 94 %
2026/03/17 17:42:56.940, 147.29 W, 94 %
2026/03/17 17:42:57.040, 147.13 W, 94 %
2026/03/17 17:42:57.140, 147.39 W, 94 %
2026/03/17 17:42:57.240, 147.16 W, 94 %
2026/03/17 17:42:57.340, 147.12 W, 94 %
2026/03/17 17:42:57.440, 147.45 W, 94 %
2026/03/17 17:42:57.541, 147.66 W, 95 %
2026/03/17 17:42:57.641, 147.51 W, 95 %
2026/03/17 17:42:57.741, 147.64 W, 93 %
2026/03/17 17:42:57.841, 147.92 W, 93 %
2026/03/17 17:42:57.941, 147.99 W, 89 %
2026/03/17 17:42:58.041, 147.89 W, 89 %
2026/03/17 17:42:58.141, 147.79 W, 94 %
2026/03/17 17:42:58.242, 147.76 W, 94 %
