timestamp, power.draw [W], utilization.gpu [%]
2026/03/16 22:43:39.611, 296.25 W, 3 %
2026/03/16 22:43:39.712, 296.25 W, 3 %
2026/03/16 22:43:39.812, 274.76 W, 0 %
2026/03/16 22:43:39.913, 255.14 W, 0 %
2026/03/16 22:43:40.013, 231.91 W, 3 %
2026/03/16 22:43:40.113, 208.36 W, 3 %
2026/03/16 22:43:40.213, 188.97 W, 0 %
2026/03/16 22:43:40.313, 164.41 W, 0 %
2026/03/16 22:43:40.413, 141.20 W, 0 %
2026/03/16 22:43:40.513, 121.57 W, 0 %
2026/03/16 22:43:40.614, 121.14 W, 0 %
2026/03/16 22:43:40.714, 120.62 W, 0 %
2026/03/16 22:43:40.814, 120.11 W, 0 %
2026/03/16 22:43:40.914, 119.39 W, 0 %
2026/03/16 22:43:41.014, 118.78 W, 0 %
2026/03/16 22:43:41.114, 118.64 W, 0 %
2026/03/16 22:43:41.214, 118.58 W, 2 %
2026/03/16 22:43:41.315, 118.68 W, 2 %
2026/03/16 22:43:41.415, 118.62 W, 0 %
2026/03/16 22:43:41.515, 118.54 W, 0 %
2026/03/16 22:43:41.615, 118.49 W, 0 %
2026/03/16 22:43:41.715, 118.40 W, 0 %
2026/03/16 22:43:41.815, 118.37 W, 0 %
2026/03/16 22:43:41.915, 118.33 W, 0 %
2026/03/16 22:43:42.016, 118.29 W, 0 %
2026/03/16 22:43:42.116, 118.20 W, 0 %
2026/03/16 22:43:42.216, 122.75 W, 0 %
2026/03/16 22:43:42.316, 150.97 W, 97 %
2026/03/16 22:43:42.416, 178.36 W, 97 %
2026/03/16 22:43:42.516, 204.60 W, 97 %
2026/03/16 22:43:42.616, 231.11 W, 97 %
2026/03/16 22:43:42.717, 256.58 W, 97 %
2026/03/16 22:43:42.817, 285.41 W, 97 %
2026/03/16 22:43:42.917, 311.66 W, 97 %
2026/03/16 22:43:43.017, 333.20 W, 97 %
2026/03/16 22:43:43.117, 347.45 W, 98 %
2026/03/16 22:43:43.217, 358.22 W, 98 %
2026/03/16 22:43:43.317, 352.55 W, 97 %
2026/03/16 22:43:43.418, 349.18 W, 97 %
2026/03/16 22:43:43.518, 349.98 W, 97 %
2026/03/16 22:43:43.618, 349.41 W, 97 %
2026/03/16 22:43:43.718, 342.85 W, 75 %
2026/03/16 22:43:43.818, 344.34 W, 75 %
2026/03/16 22:43:43.918, 343.27 W, 97 %
2026/03/16 22:43:44.018, 341.61 W, 97 %
2026/03/16 22:43:44.119, 346.73 W, 98 %
2026/03/16 22:43:44.219, 349.00 W, 98 %
2026/03/16 22:43:44.319, 351.11 W, 97 %
2026/03/16 22:43:44.419, 351.10 W, 97 %
2026/03/16 22:43:44.519, 350.23 W, 97 %
2026/03/16 22:43:44.619, 348.76 W, 97 %
2026/03/16 22:43:44.719, 348.69 W, 97 %
2026/03/16 22:43:44.820, 349.55 W, 97 %
2026/03/16 22:43:44.920, 348.17 W, 97 %
2026/03/16 22:43:45.020, 346.65 W, 97 %
2026/03/16 22:43:45.120, 347.52 W, 98 %
2026/03/16 22:43:45.220, 348.93 W, 98 %
2026/03/16 22:43:45.320, 345.57 W, 74 %
2026/03/16 22:43:45.420, 346.98 W, 74 %
2026/03/16 22:43:45.521, 346.76 W, 97 %
2026/03/16 22:43:45.621, 346.18 W, 97 %
2026/03/16 22:43:45.721, 348.70 W, 97 %
2026/03/16 22:43:45.821, 348.73 W, 97 %
2026/03/16 22:43:45.921, 347.13 W, 97 %
2026/03/16 22:43:46.021, 347.15 W, 97 %
2026/03/16 22:43:46.121, 347.19 W, 98 %
2026/03/16 22:43:46.222, 347.69 W, 98 %
2026/03/16 22:43:46.322, 350.29 W, 97 %
2026/03/16 22:43:46.422, 349.58 W, 97 %
2026/03/16 22:43:46.522, 349.73 W, 97 %
2026/03/16 22:43:46.622, 349.10 W, 97 %
2026/03/16 22:43:46.722, 349.38 W, 97 %
2026/03/16 22:43:46.822, 342.95 W, 97 %
2026/03/16 22:43:46.922, 346.57 W, 97 %
2026/03/16 22:43:47.023, 347.60 W, 97 %
2026/03/16 22:43:47.123, 349.84 W, 97 %
2026/03/16 22:43:47.223, 349.69 W, 97 %
2026/03/16 22:43:47.323, 350.67 W, 97 %
2026/03/16 22:43:47.423, 350.55 W, 97 %
2026/03/16 22:43:47.523, 349.11 W, 97 %
2026/03/16 22:43:47.623, 349.09 W, 97 %
2026/03/16 22:43:47.724, 346.89 W, 97 %
2026/03/16 22:43:47.824, 351.46 W, 97 %
2026/03/16 22:43:47.924, 348.62 W, 97 %
2026/03/16 22:43:48.024, 347.92 W, 97 %
2026/03/16 22:43:48.124, 347.71 W, 97 %
2026/03/16 22:43:48.224, 348.43 W, 97 %
2026/03/16 22:43:48.324, 346.22 W, 92 %
2026/03/16 22:43:48.425, 346.93 W, 92 %
2026/03/16 22:43:48.525, 347.17 W, 97 %
2026/03/16 22:43:48.625, 348.42 W, 97 %
2026/03/16 22:43:48.725, 348.82 W, 97 %
2026/03/16 22:43:48.825, 348.92 W, 97 %
2026/03/16 22:43:48.925, 348.26 W, 97 %
2026/03/16 22:43:49.025, 348.45 W, 97 %
2026/03/16 22:43:49.126, 347.85 W, 97 %
2026/03/16 22:43:49.226, 348.34 W, 97 %
2026/03/16 22:43:49.326, 350.29 W, 97 %
2026/03/16 22:43:49.426, 349.15 W, 97 %
2026/03/16 22:43:49.526, 349.26 W, 97 %
2026/03/16 22:43:49.626, 348.22 W, 97 %
2026/03/16 22:43:49.726, 349.12 W, 97 %
2026/03/16 22:43:49.827, 348.59 W, 97 %
2026/03/16 22:43:49.927, 345.14 W, 74 %
2026/03/16 22:43:50.027, 345.76 W, 74 %
2026/03/16 22:43:50.127, 347.40 W, 97 %
2026/03/16 22:43:50.227, 347.10 W, 97 %
2026/03/16 22:43:50.327, 348.47 W, 97 %
2026/03/16 22:43:50.427, 348.01 W, 97 %
2026/03/16 22:43:50.528, 346.75 W, 97 %
2026/03/16 22:43:50.628, 346.91 W, 97 %
2026/03/16 22:43:50.728, 346.40 W, 97 %
2026/03/16 22:43:50.828, 345.39 W, 97 %
2026/03/16 22:43:50.928, 348.76 W, 97 %
2026/03/16 22:43:51.028, 348.07 W, 97 %
2026/03/16 22:43:51.128, 347.32 W, 97 %
2026/03/16 22:43:51.229, 348.20 W, 97 %
2026/03/16 22:43:51.329, 348.03 W, 97 %
2026/03/16 22:43:51.429, 343.76 W, 97 %
2026/03/16 22:43:51.529, 347.60 W, 97 %
2026/03/16 22:43:51.629, 349.01 W, 97 %
2026/03/16 22:43:51.729, 349.47 W, 97 %
2026/03/16 22:43:51.829, 350.24 W, 97 %
2026/03/16 22:43:51.930, 351.36 W, 97 %
2026/03/16 22:43:52.030, 351.44 W, 97 %
2026/03/16 22:43:52.130, 349.93 W, 97 %
2026/03/16 22:43:52.230, 350.89 W, 97 %
2026/03/16 22:43:52.330, 350.04 W, 97 %
2026/03/16 22:43:52.430, 352.48 W, 97 %
2026/03/16 22:43:52.530, 349.64 W, 97 %
2026/03/16 22:43:52.631, 348.86 W, 97 %
2026/03/16 22:43:52.731, 348.85 W, 97 %
2026/03/16 22:43:52.831, 348.83 W, 97 %
2026/03/16 22:43:52.931, 346.82 W, 97 %
2026/03/16 22:43:53.031, 344.94 W, 97 %
2026/03/16 22:43:53.131, 347.76 W, 97 %
2026/03/16 22:43:53.231, 346.44 W, 97 %
2026/03/16 22:43:53.332, 347.80 W, 97 %
2026/03/16 22:43:53.432, 349.05 W, 97 %
2026/03/16 22:43:53.532, 348.90 W, 97 %
2026/03/16 22:43:53.632, 348.15 W, 97 %
2026/03/16 22:43:53.732, 347.90 W, 97 %
2026/03/16 22:43:53.832, 347.39 W, 97 %
2026/03/16 22:43:53.932, 352.19 W, 97 %
2026/03/16 22:43:54.033, 350.41 W, 97 %
2026/03/16 22:43:54.133, 349.61 W, 97 %
2026/03/16 22:43:54.233, 351.30 W, 97 %
2026/03/16 22:43:54.333, 351.60 W, 97 %
2026/03/16 22:43:54.433, 351.89 W, 97 %
2026/03/16 22:43:54.533, 348.45 W, 75 %
2026/03/16 22:43:54.633, 349.02 W, 75 %
2026/03/16 22:43:54.734, 349.00 W, 97 %
2026/03/16 22:43:54.834, 347.97 W, 97 %
2026/03/16 22:43:54.934, 348.85 W, 97 %
2026/03/16 22:43:55.034, 348.72 W, 97 %
2026/03/16 22:43:55.134, 348.58 W, 97 %
2026/03/16 22:43:55.234, 348.49 W, 97 %
2026/03/16 22:43:55.334, 348.59 W, 97 %
2026/03/16 22:43:55.435, 345.62 W, 97 %
2026/03/16 22:43:55.535, 350.62 W, 97 %
2026/03/16 22:43:55.635, 350.45 W, 97 %
2026/03/16 22:43:55.735, 349.81 W, 97 %
2026/03/16 22:43:55.835, 350.72 W, 97 %
2026/03/16 22:43:55.935, 350.84 W, 97 %
2026/03/16 22:43:56.035, 346.92 W, 97 %
2026/03/16 22:43:56.136, 350.95 W, 97 %
2026/03/16 22:43:56.236, 352.03 W, 97 %
2026/03/16 22:43:56.336, 351.44 W, 97 %
2026/03/16 22:43:56.436, 352.71 W, 97 %
2026/03/16 22:43:56.536, 351.74 W, 97 %
2026/03/16 22:43:56.636, 350.33 W, 97 %
2026/03/16 22:43:56.736, 350.82 W, 97 %
2026/03/16 22:43:56.837, 350.08 W, 97 %
2026/03/16 22:43:56.937, 348.71 W, 97 %
2026/03/16 22:43:57.037, 352.12 W, 97 %
2026/03/16 22:43:57.137, 349.99 W, 97 %
2026/03/16 22:43:57.237, 348.86 W, 97 %
2026/03/16 22:43:57.337, 349.01 W, 97 %
2026/03/16 22:43:57.437, 349.90 W, 97 %
2026/03/16 22:43:57.538, 346.10 W, 97 %
2026/03/16 22:43:57.638, 346.97 W, 97 %
2026/03/16 22:43:57.738, 348.05 W, 97 %
2026/03/16 22:43:57.838, 347.85 W, 97 %
2026/03/16 22:43:57.938, 349.00 W, 97 %
2026/03/16 22:43:58.038, 349.57 W, 97 %
2026/03/16 22:43:58.138, 348.48 W, 97 %
2026/03/16 22:43:58.239, 349.05 W, 97 %
2026/03/16 22:43:58.339, 349.59 W, 97 %
2026/03/16 22:43:58.439, 348.72 W, 97 %
2026/03/16 22:43:58.539, 346.08 W, 97 %
2026/03/16 22:43:58.639, 349.17 W, 97 %
2026/03/16 22:43:58.739, 347.23 W, 97 %
2026/03/16 22:43:58.839, 347.30 W, 97 %
2026/03/16 22:43:58.940, 347.41 W, 97 %
2026/03/16 22:43:59.040, 348.23 W, 97 %
2026/03/16 22:43:59.140, 344.73 W, 76 %
2026/03/16 22:43:59.240, 347.06 W, 76 %
2026/03/16 22:43:59.340, 347.95 W, 97 %
2026/03/16 22:43:59.440, 347.54 W, 97 %
2026/03/16 22:43:59.540, 349.90 W, 97 %
2026/03/16 22:43:59.641, 349.59 W, 97 %
2026/03/16 22:43:59.741, 350.36 W, 97 %
2026/03/16 22:43:59.841, 350.22 W, 97 %
2026/03/16 22:43:59.941, 351.70 W, 97 %
2026/03/16 22:44:00.041, 348.14 W, 97 %
2026/03/16 22:44:00.141, 352.42 W, 97 %
2026/03/16 22:44:00.241, 349.49 W, 97 %
2026/03/16 22:44:00.342, 348.75 W, 97 %
2026/03/16 22:44:00.442, 349.42 W, 97 %
2026/03/16 22:44:00.542, 348.88 W, 97 %
2026/03/16 22:44:00.642, 344.92 W, 97 %
2026/03/16 22:44:00.742, 347.82 W, 82 %
2026/03/16 22:44:00.842, 348.77 W, 82 %
2026/03/16 22:44:00.942, 347.49 W, 97 %
2026/03/16 22:44:01.043, 349.85 W, 97 %
2026/03/16 22:44:01.143, 350.66 W, 97 %
2026/03/16 22:44:01.243, 350.86 W, 97 %
2026/03/16 22:44:01.343, 350.36 W, 97 %
2026/03/16 22:44:01.443, 350.62 W, 97 %
2026/03/16 22:44:01.543, 348.84 W, 97 %
2026/03/16 22:44:01.643, 351.01 W, 97 %
2026/03/16 22:44:01.744, 350.02 W, 97 %
2026/03/16 22:44:01.844, 348.72 W, 97 %
2026/03/16 22:44:01.944, 348.77 W, 97 %
2026/03/16 22:44:02.044, 348.96 W, 97 %
2026/03/16 22:44:02.144, 348.27 W, 97 %
2026/03/16 22:44:02.244, 345.75 W, 97 %
2026/03/16 22:44:02.344, 347.98 W, 97 %
2026/03/16 22:44:02.445, 348.24 W, 97 %
2026/03/16 22:44:02.545, 348.88 W, 97 %
2026/03/16 22:44:02.645, 351.27 W, 97 %
2026/03/16 22:44:02.745, 349.00 W, 97 %
2026/03/16 22:44:02.845, 349.05 W, 97 %
2026/03/16 22:44:02.945, 349.75 W, 97 %
2026/03/16 22:44:03.045, 350.62 W, 97 %
2026/03/16 22:44:03.146, 347.76 W, 97 %
2026/03/16 22:44:03.246, 350.60 W, 97 %
2026/03/16 22:44:03.346, 349.85 W, 97 %
2026/03/16 22:44:03.446, 348.72 W, 97 %
2026/03/16 22:44:03.546, 349.81 W, 97 %
2026/03/16 22:44:03.646, 349.88 W, 97 %
2026/03/16 22:44:03.746, 343.74 W, 73 %
2026/03/16 22:44:03.847, 346.52 W, 73 %
2026/03/16 22:44:03.947, 347.32 W, 97 %
2026/03/16 22:44:04.047, 345.90 W, 97 %
2026/03/16 22:44:04.147, 347.98 W, 97 %
2026/03/16 22:44:04.247, 348.60 W, 97 %
2026/03/16 22:44:04.347, 347.23 W, 97 %
2026/03/16 22:44:04.447, 347.58 W, 97 %
2026/03/16 22:44:04.548, 347.84 W, 97 %
2026/03/16 22:44:04.648, 345.87 W, 97 %
2026/03/16 22:44:04.748, 351.58 W, 98 %
2026/03/16 22:44:04.848, 349.01 W, 98 %
2026/03/16 22:44:04.948, 348.62 W, 97 %
2026/03/16 22:44:05.048, 348.72 W, 97 %
2026/03/16 22:44:05.148, 349.53 W, 97 %
2026/03/16 22:44:05.249, 344.25 W, 97 %
2026/03/16 22:44:05.349, 346.83 W, 75 %
2026/03/16 22:44:05.449, 347.58 W, 75 %
2026/03/16 22:44:05.549, 347.77 W, 97 %
2026/03/16 22:44:05.649, 347.52 W, 97 %
2026/03/16 22:44:05.749, 349.38 W, 97 %
2026/03/16 22:44:05.849, 348.23 W, 97 %
2026/03/16 22:44:05.950, 346.92 W, 97 %
2026/03/16 22:44:06.050, 347.42 W, 97 %
2026/03/16 22:44:06.150, 346.61 W, 97 %
2026/03/16 22:44:06.250, 347.50 W, 97 %
2026/03/16 22:44:06.350, 347.83 W, 97 %
2026/03/16 22:44:06.450, 348.01 W, 97 %
2026/03/16 22:44:06.550, 347.97 W, 97 %
2026/03/16 22:44:06.651, 349.02 W, 97 %
2026/03/16 22:44:06.751, 349.96 W, 97 %
2026/03/16 22:44:06.851, 346.15 W, 97 %
2026/03/16 22:44:06.951, 348.73 W, 97 %
2026/03/16 22:44:07.051, 349.31 W, 97 %
2026/03/16 22:44:07.151, 348.82 W, 97 %
2026/03/16 22:44:07.251, 349.11 W, 97 %
2026/03/16 22:44:07.351, 349.04 W, 97 %
2026/03/16 22:44:07.452, 348.79 W, 97 %
2026/03/16 22:44:07.552, 348.28 W, 97 %
2026/03/16 22:44:07.652, 348.20 W, 97 %
2026/03/16 22:44:07.752, 344.89 W, 97 %
2026/03/16 22:44:07.852, 348.59 W, 97 %
2026/03/16 22:44:07.952, 346.87 W, 97 %
2026/03/16 22:44:08.052, 347.04 W, 97 %
2026/03/16 22:44:08.153, 348.10 W, 97 %
2026/03/16 22:44:08.253, 347.91 W, 97 %
2026/03/16 22:44:08.353, 344.53 W, 75 %
2026/03/16 22:44:08.453, 347.34 W, 75 %
2026/03/16 22:44:08.553, 348.19 W, 97 %
2026/03/16 22:44:08.653, 347.60 W, 97 %
2026/03/16 22:44:08.753, 348.99 W, 97 %
2026/03/16 22:44:08.854, 349.83 W, 97 %
2026/03/16 22:44:08.954, 349.64 W, 97 %
2026/03/16 22:44:09.054, 348.70 W, 97 %
2026/03/16 22:44:09.154, 348.74 W, 97 %
2026/03/16 22:44:09.254, 347.21 W, 97 %
2026/03/16 22:44:09.354, 351.28 W, 97 %
2026/03/16 22:44:09.454, 348.99 W, 97 %
2026/03/16 22:44:09.555, 348.45 W, 97 %
2026/03/16 22:44:09.655, 348.99 W, 97 %
2026/03/16 22:44:09.755, 350.57 W, 97 %
2026/03/16 22:44:09.855, 346.30 W, 97 %
2026/03/16 22:44:09.955, 346.45 W, 75 %
2026/03/16 22:44:10.055, 348.04 W, 75 %
2026/03/16 22:44:10.155, 347.53 W, 97 %
2026/03/16 22:44:10.256, 349.42 W, 97 %
