timestamp, power.draw [W], utilization.gpu [%]
2026/03/16 22:49:45.100, 201.81 W, 24 %
2026/03/16 22:49:45.202, 193.44 W, 24 %
2026/03/16 22:49:45.302, 184.48 W, 0 %
2026/03/16 22:49:45.402, 175.79 W, 0 %
2026/03/16 22:49:45.502, 167.74 W, 3 %
2026/03/16 22:49:45.603, 157.64 W, 3 %
2026/03/16 22:49:45.703, 158.32 W, 65 %
2026/03/16 22:49:45.803, 156.26 W, 65 %
2026/03/16 22:49:45.903, 155.82 W, 87 %
2026/03/16 22:49:46.003, 156.11 W, 87 %
2026/03/16 22:49:46.103, 162.95 W, 87 %
2026/03/16 22:49:46.203, 169.77 W, 87 %
2026/03/16 22:49:46.304, 179.62 W, 87 %
2026/03/16 22:49:46.404, 187.97 W, 87 %
2026/03/16 22:49:46.504, 198.36 W, 88 %
2026/03/16 22:49:46.604, 205.38 W, 88 %
2026/03/16 22:49:46.704, 207.42 W, 88 %
2026/03/16 22:49:46.804, 208.60 W, 88 %
2026/03/16 22:49:46.904, 209.82 W, 87 %
2026/03/16 22:49:47.005, 211.04 W, 87 %
2026/03/16 22:49:47.105, 211.31 W, 88 %
2026/03/16 22:49:47.205, 213.27 W, 88 %
2026/03/16 22:49:47.305, 213.99 W, 87 %
2026/03/16 22:49:47.405, 213.94 W, 87 %
2026/03/16 22:49:47.505, 214.42 W, 87 %
2026/03/16 22:49:47.605, 215.35 W, 87 %
2026/03/16 22:49:47.705, 215.65 W, 87 %
2026/03/16 22:49:47.806, 215.45 W, 87 %
2026/03/16 22:49:47.906, 215.35 W, 87 %
2026/03/16 22:49:48.006, 214.18 W, 87 %
2026/03/16 22:49:48.106, 213.59 W, 88 %
2026/03/16 22:49:48.206, 213.64 W, 88 %
2026/03/16 22:49:48.306, 212.76 W, 87 %
2026/03/16 22:49:48.406, 212.08 W, 87 %
2026/03/16 22:49:48.507, 210.59 W, 85 %
2026/03/16 22:49:48.607, 210.34 W, 85 %
2026/03/16 22:49:48.707, 210.01 W, 87 %
2026/03/16 22:49:48.807, 209.94 W, 87 %
2026/03/16 22:49:48.907, 210.05 W, 87 %
2026/03/16 22:49:49.007, 210.55 W, 87 %
2026/03/16 22:49:49.107, 210.24 W, 82 %
2026/03/16 22:49:49.208, 210.24 W, 82 %
2026/03/16 22:49:49.308, 210.52 W, 87 %
2026/03/16 22:49:49.408, 210.23 W, 87 %
2026/03/16 22:49:49.508, 211.71 W, 87 %
2026/03/16 22:49:49.608, 212.38 W, 87 %
2026/03/16 22:49:49.708, 213.06 W, 86 %
2026/03/16 22:49:49.808, 213.00 W, 86 %
2026/03/16 22:49:49.909, 213.40 W, 87 %
2026/03/16 22:49:50.009, 213.83 W, 87 %
2026/03/16 22:49:50.109, 213.95 W, 88 %
2026/03/16 22:49:50.209, 213.35 W, 88 %
2026/03/16 22:49:50.309, 213.51 W, 87 %
2026/03/16 22:49:50.409, 212.40 W, 87 %
2026/03/16 22:49:50.509, 212.88 W, 87 %
2026/03/16 22:49:50.610, 211.86 W, 87 %
2026/03/16 22:49:50.710, 211.08 W, 87 %
2026/03/16 22:49:50.810, 211.80 W, 87 %
2026/03/16 22:49:50.910, 210.23 W, 87 %
2026/03/16 22:49:51.010, 211.45 W, 87 %
2026/03/16 22:49:51.110, 211.67 W, 87 %
2026/03/16 22:49:51.210, 212.29 W, 87 %
2026/03/16 22:49:51.311, 212.19 W, 87 %
2026/03/16 22:49:51.411, 214.07 W, 87 %
2026/03/16 22:49:51.511, 213.40 W, 87 %
2026/03/16 22:49:51.611, 212.48 W, 87 %
2026/03/16 22:49:51.711, 213.71 W, 87 %
2026/03/16 22:49:51.811, 213.12 W, 87 %
2026/03/16 22:49:51.911, 213.27 W, 86 %
2026/03/16 22:49:52.011, 213.15 W, 86 %
2026/03/16 22:49:52.112, 213.30 W, 87 %
2026/03/16 22:49:52.212, 213.64 W, 87 %
2026/03/16 22:49:52.312, 213.15 W, 87 %
2026/03/16 22:49:52.412, 212.21 W, 87 %
2026/03/16 22:49:52.512, 211.39 W, 85 %
2026/03/16 22:49:52.612, 212.58 W, 85 %
2026/03/16 22:49:52.712, 211.46 W, 87 %
2026/03/16 22:49:52.813, 211.81 W, 87 %
2026/03/16 22:49:52.913, 211.86 W, 87 %
2026/03/16 22:49:53.013, 211.73 W, 87 %
2026/03/16 22:49:53.113, 212.14 W, 86 %
2026/03/16 22:49:53.213, 211.58 W, 86 %
2026/03/16 22:49:53.313, 212.27 W, 87 %
2026/03/16 22:49:53.413, 213.08 W, 87 %
2026/03/16 22:49:53.514, 213.69 W, 87 %
2026/03/16 22:49:53.614, 213.16 W, 87 %
2026/03/16 22:49:53.714, 213.33 W, 87 %
2026/03/16 22:49:53.814, 212.03 W, 87 %
2026/03/16 22:49:53.914, 212.17 W, 87 %
2026/03/16 22:49:54.014, 212.72 W, 87 %
2026/03/16 22:49:54.114, 211.87 W, 87 %
2026/03/16 22:49:54.215, 212.07 W, 87 %
2026/03/16 22:49:54.315, 212.40 W, 87 %
2026/03/16 22:49:54.415, 212.10 W, 87 %
2026/03/16 22:49:54.515, 211.57 W, 87 %
2026/03/16 22:49:54.615, 211.68 W, 87 %
2026/03/16 22:49:54.715, 211.39 W, 87 %
2026/03/16 22:49:54.815, 212.77 W, 87 %
2026/03/16 22:49:54.916, 212.74 W, 87 %
2026/03/16 22:49:55.016, 212.87 W, 87 %
2026/03/16 22:49:55.116, 213.14 W, 87 %
2026/03/16 22:49:55.216, 213.58 W, 87 %
2026/03/16 22:49:55.316, 213.30 W, 86 %
2026/03/16 22:49:55.416, 213.44 W, 86 %
2026/03/16 22:49:55.516, 213.62 W, 87 %
2026/03/16 22:49:55.616, 214.26 W, 87 %
2026/03/16 22:49:55.717, 214.71 W, 87 %
2026/03/16 22:49:55.817, 214.01 W, 87 %
2026/03/16 22:49:55.917, 213.88 W, 84 %
2026/03/16 22:49:56.017, 213.94 W, 84 %
2026/03/16 22:49:56.117, 213.91 W, 87 %
2026/03/16 22:49:56.217, 213.88 W, 87 %
2026/03/16 22:49:56.318, 213.69 W, 87 %
2026/03/16 22:49:56.418, 212.56 W, 87 %
2026/03/16 22:49:56.518, 212.80 W, 87 %
2026/03/16 22:49:56.618, 212.21 W, 87 %
2026/03/16 22:49:56.718, 212.19 W, 87 %
2026/03/16 22:49:56.818, 212.82 W, 87 %
2026/03/16 22:49:56.918, 213.23 W, 88 %
2026/03/16 22:49:57.018, 212.09 W, 88 %
2026/03/16 22:49:57.119, 211.75 W, 87 %
2026/03/16 22:49:57.219, 211.39 W, 87 %
2026/03/16 22:49:57.319, 211.33 W, 87 %
2026/03/16 22:49:57.419, 212.82 W, 87 %
2026/03/16 22:49:57.519, 212.23 W, 87 %
2026/03/16 22:49:57.619, 212.31 W, 87 %
2026/03/16 22:49:57.719, 211.76 W, 87 %
2026/03/16 22:49:57.820, 211.38 W, 87 %
2026/03/16 22:49:57.920, 210.92 W, 87 %
2026/03/16 22:49:58.020, 211.53 W, 87 %
2026/03/16 22:49:58.120, 211.57 W, 86 %
2026/03/16 22:49:58.220, 212.20 W, 86 %
2026/03/16 22:49:58.320, 212.02 W, 87 %
2026/03/16 22:49:58.420, 211.77 W, 87 %
2026/03/16 22:49:58.521, 212.45 W, 87 %
2026/03/16 22:49:58.621, 212.30 W, 87 %
2026/03/16 22:49:58.721, 213.36 W, 86 %
2026/03/16 22:49:58.821, 213.37 W, 86 %
2026/03/16 22:49:58.921, 213.85 W, 87 %
2026/03/16 22:49:59.021, 214.12 W, 87 %
2026/03/16 22:49:59.121, 213.99 W, 87 %
2026/03/16 22:49:59.221, 213.54 W, 87 %
2026/03/16 22:49:59.322, 214.11 W, 86 %
2026/03/16 22:49:59.422, 214.75 W, 86 %
2026/03/16 22:49:59.522, 214.49 W, 87 %
2026/03/16 22:49:59.622, 214.60 W, 87 %
2026/03/16 22:49:59.722, 214.58 W, 87 %
2026/03/16 22:49:59.822, 214.31 W, 87 %
2026/03/16 22:49:59.922, 213.57 W, 87 %
2026/03/16 22:50:00.023, 213.83 W, 87 %
2026/03/16 22:50:00.123, 214.21 W, 87 %
2026/03/16 22:50:00.223, 214.48 W, 87 %
2026/03/16 22:50:00.323, 214.11 W, 87 %
