timestamp, power.draw [W], utilization.gpu [%]
2026/03/16 23:04:59.021, 290.52 W, 30 %
2026/03/16 23:04:59.123, 290.52 W, 30 %
2026/03/16 23:04:59.223, 267.23 W, 0 %
2026/03/16 23:04:59.323, 247.86 W, 0 %
2026/03/16 23:04:59.423, 228.85 W, 0 %
2026/03/16 23:04:59.523, 209.28 W, 0 %
2026/03/16 23:04:59.624, 188.95 W, 5 %
2026/03/16 23:04:59.724, 166.64 W, 5 %
2026/03/16 23:04:59.824, 149.93 W, 94 %
2026/03/16 23:04:59.924, 130.34 W, 94 %
2026/03/16 23:05:00.024, 125.43 W, 94 %
2026/03/16 23:05:00.124, 125.39 W, 94 %
2026/03/16 23:05:00.224, 125.47 W, 94 %
2026/03/16 23:05:00.325, 125.59 W, 94 %
2026/03/16 23:05:00.425, 125.70 W, 94 %
2026/03/16 23:05:00.525, 125.92 W, 94 %
2026/03/16 23:05:00.625, 126.39 W, 94 %
2026/03/16 23:05:00.725, 126.37 W, 94 %
2026/03/16 23:05:00.825, 126.25 W, 89 %
2026/03/16 23:05:00.925, 126.19 W, 89 %
2026/03/16 23:05:01.026, 126.12 W, 94 %
2026/03/16 23:05:01.126, 126.07 W, 94 %
2026/03/16 23:05:01.226, 126.01 W, 94 %
2026/03/16 23:05:01.326, 125.96 W, 94 %
2026/03/16 23:05:01.426, 125.92 W, 94 %
2026/03/16 23:05:01.526, 125.93 W, 94 %
2026/03/16 23:05:01.626, 125.92 W, 94 %
2026/03/16 23:05:01.726, 125.91 W, 94 %
2026/03/16 23:05:01.827, 125.92 W, 94 %
2026/03/16 23:05:01.927, 125.88 W, 94 %
2026/03/16 23:05:02.027, 125.85 W, 94 %
2026/03/16 23:05:02.127, 125.84 W, 94 %
2026/03/16 23:05:02.227, 125.83 W, 94 %
2026/03/16 23:05:02.327, 125.80 W, 94 %
2026/03/16 23:05:02.427, 125.76 W, 94 %
2026/03/16 23:05:02.528, 125.72 W, 94 %
2026/03/16 23:05:02.628, 125.66 W, 94 %
2026/03/16 23:05:02.728, 125.64 W, 94 %
2026/03/16 23:05:02.828, 125.63 W, 94 %
2026/03/16 23:05:02.928, 125.60 W, 94 %
2026/03/16 23:05:03.028, 125.60 W, 94 %
2026/03/16 23:05:03.128, 125.58 W, 94 %
2026/03/16 23:05:03.229, 125.57 W, 94 %
2026/03/16 23:05:03.329, 125.62 W, 94 %
2026/03/16 23:05:03.429, 125.69 W, 94 %
2026/03/16 23:05:03.529, 125.72 W, 94 %
2026/03/16 23:05:03.629, 125.74 W, 94 %
2026/03/16 23:05:03.729, 125.77 W, 94 %
2026/03/16 23:05:03.829, 125.79 W, 94 %
2026/03/16 23:05:03.930, 125.79 W, 94 %
2026/03/16 23:05:04.030, 125.80 W, 94 %
2026/03/16 23:05:04.130, 125.80 W, 94 %
2026/03/16 23:05:04.230, 125.79 W, 94 %
2026/03/16 23:05:04.330, 125.76 W, 94 %
2026/03/16 23:05:04.430, 125.69 W, 94 %
2026/03/16 23:05:04.530, 125.60 W, 94 %
2026/03/16 23:05:04.631, 125.55 W, 94 %
2026/03/16 23:05:04.731, 125.52 W, 94 %
2026/03/16 23:05:04.831, 125.50 W, 94 %
2026/03/16 23:05:04.931, 125.46 W, 94 %
2026/03/16 23:05:05.031, 125.44 W, 94 %
2026/03/16 23:05:05.131, 125.41 W, 94 %
2026/03/16 23:05:05.231, 125.39 W, 94 %
2026/03/16 23:05:05.331, 125.37 W, 94 %
2026/03/16 23:05:05.432, 125.40 W, 94 %
2026/03/16 23:05:05.532, 125.40 W, 94 %
2026/03/16 23:05:05.632, 125.40 W, 94 %
2026/03/16 23:05:05.732, 125.38 W, 94 %
2026/03/16 23:05:05.832, 125.41 W, 94 %
2026/03/16 23:05:05.932, 125.40 W, 94 %
2026/03/16 23:05:06.033, 125.40 W, 94 %
2026/03/16 23:05:06.133, 125.41 W, 94 %
2026/03/16 23:05:06.233, 125.40 W, 94 %
2026/03/16 23:05:06.333, 125.38 W, 94 %
2026/03/16 23:05:06.433, 125.37 W, 94 %
2026/03/16 23:05:06.533, 125.40 W, 94 %
2026/03/16 23:05:06.633, 125.40 W, 94 %
2026/03/16 23:05:06.733, 125.41 W, 94 %
2026/03/16 23:05:06.834, 125.38 W, 94 %
2026/03/16 23:05:06.934, 125.37 W, 94 %
2026/03/16 23:05:07.034, 125.34 W, 94 %
2026/03/16 23:05:07.134, 125.34 W, 94 %
2026/03/16 23:05:07.234, 125.37 W, 94 %
2026/03/16 23:05:07.334, 125.36 W, 94 %
2026/03/16 23:05:07.434, 125.36 W, 94 %
2026/03/16 23:05:07.535, 125.34 W, 94 %
2026/03/16 23:05:07.635, 125.35 W, 94 %
2026/03/16 23:05:07.735, 125.33 W, 94 %
2026/03/16 23:05:07.835, 125.32 W, 94 %
2026/03/16 23:05:07.935, 125.34 W, 94 %
2026/03/16 23:05:08.035, 125.36 W, 94 %
2026/03/16 23:05:08.135, 125.37 W, 94 %
2026/03/16 23:05:08.235, 125.35 W, 94 %
2026/03/16 23:05:08.336, 125.33 W, 94 %
2026/03/16 23:05:08.436, 125.32 W, 94 %
2026/03/16 23:05:08.536, 125.34 W, 94 %
2026/03/16 23:05:08.636, 125.34 W, 94 %
2026/03/16 23:05:08.736, 125.36 W, 94 %
2026/03/16 23:05:08.836, 125.36 W, 94 %
2026/03/16 23:05:08.936, 125.34 W, 94 %
2026/03/16 23:05:09.037, 125.35 W, 94 %
2026/03/16 23:05:09.137, 125.34 W, 94 %
2026/03/16 23:05:09.237, 125.31 W, 94 %
2026/03/16 23:05:09.337, 125.32 W, 94 %
2026/03/16 23:05:09.437, 125.34 W, 94 %
2026/03/16 23:05:09.537, 125.31 W, 94 %
2026/03/16 23:05:09.637, 125.28 W, 94 %
2026/03/16 23:05:09.738, 125.26 W, 94 %
2026/03/16 23:05:09.838, 125.23 W, 94 %
2026/03/16 23:05:09.938, 125.23 W, 94 %
2026/03/16 23:05:10.038, 125.24 W, 94 %
2026/03/16 23:05:10.138, 125.21 W, 94 %
2026/03/16 23:05:10.238, 125.23 W, 94 %
2026/03/16 23:05:10.338, 125.21 W, 94 %
2026/03/16 23:05:10.439, 125.19 W, 94 %
2026/03/16 23:05:10.539, 125.20 W, 94 %
2026/03/16 23:05:10.639, 125.25 W, 94 %
2026/03/16 23:05:10.739, 125.25 W, 94 %
2026/03/16 23:05:10.839, 125.26 W, 94 %
2026/03/16 23:05:10.939, 125.26 W, 94 %
2026/03/16 23:05:11.039, 125.26 W, 94 %
2026/03/16 23:05:11.140, 125.27 W, 94 %
2026/03/16 23:05:11.240, 125.24 W, 94 %
2026/03/16 23:05:11.340, 125.26 W, 94 %
2026/03/16 23:05:11.440, 125.25 W, 94 %
2026/03/16 23:05:11.540, 125.24 W, 94 %
2026/03/16 23:05:11.640, 125.21 W, 94 %
2026/03/16 23:05:11.740, 125.23 W, 94 %
2026/03/16 23:05:11.841, 125.24 W, 94 %
2026/03/16 23:05:11.941, 125.25 W, 94 %
2026/03/16 23:05:12.041, 125.25 W, 94 %
2026/03/16 23:05:12.141, 125.25 W, 94 %
2026/03/16 23:05:12.241, 125.25 W, 94 %
2026/03/16 23:05:12.341, 125.28 W, 94 %
2026/03/16 23:05:12.443, 125.28 W, 94 %
2026/03/16 23:05:12.543, 125.28 W, 94 %
2026/03/16 23:05:12.643, 125.27 W, 94 %
2026/03/16 23:05:12.743, 125.26 W, 94 %
2026/03/16 23:05:12.843, 125.24 W, 94 %
2026/03/16 23:05:12.943, 125.23 W, 94 %
2026/03/16 23:05:13.044, 125.24 W, 94 %
2026/03/16 23:05:13.144, 125.24 W, 94 %
2026/03/16 23:05:13.244, 125.26 W, 94 %
2026/03/16 23:05:13.344, 125.25 W, 94 %
2026/03/16 23:05:13.444, 125.25 W, 94 %
2026/03/16 23:05:13.544, 125.25 W, 94 %
2026/03/16 23:05:13.644, 125.25 W, 94 %
2026/03/16 23:05:13.745, 125.23 W, 94 %
2026/03/16 23:05:13.845, 125.22 W, 94 %
2026/03/16 23:05:13.945, 125.21 W, 94 %
2026/03/16 23:05:14.045, 125.18 W, 94 %
2026/03/16 23:05:14.145, 125.19 W, 94 %
2026/03/16 23:05:14.245, 125.15 W, 94 %
2026/03/16 23:05:14.345, 125.15 W, 94 %
2026/03/16 23:05:14.445, 125.15 W, 94 %
2026/03/16 23:05:14.546, 125.14 W, 94 %
2026/03/16 23:05:14.646, 125.15 W, 94 %
2026/03/16 23:05:14.746, 125.15 W, 94 %
2026/03/16 23:05:14.846, 125.17 W, 94 %
2026/03/16 23:05:14.946, 125.18 W, 94 %
2026/03/16 23:05:15.046, 125.19 W, 94 %
2026/03/16 23:05:15.146, 125.16 W, 94 %
2026/03/16 23:05:15.247, 125.19 W, 94 %
2026/03/16 23:05:15.347, 125.18 W, 94 %
2026/03/16 23:05:15.447, 125.16 W, 94 %
2026/03/16 23:05:15.547, 125.16 W, 94 %
2026/03/16 23:05:15.647, 125.15 W, 94 %
2026/03/16 23:05:15.747, 125.17 W, 94 %
2026/03/16 23:05:15.847, 125.19 W, 94 %
2026/03/16 23:05:15.948, 125.16 W, 94 %
2026/03/16 23:05:16.048, 125.14 W, 94 %
2026/03/16 23:05:16.148, 125.16 W, 94 %
2026/03/16 23:05:16.248, 125.15 W, 94 %
2026/03/16 23:05:16.348, 125.17 W, 94 %
2026/03/16 23:05:16.448, 125.14 W, 94 %
2026/03/16 23:05:16.548, 125.15 W, 94 %
2026/03/16 23:05:16.649, 125.12 W, 94 %
2026/03/16 23:05:16.749, 125.09 W, 94 %
2026/03/16 23:05:16.849, 125.05 W, 94 %
2026/03/16 23:05:16.949, 125.07 W, 94 %
2026/03/16 23:05:17.049, 125.11 W, 94 %
2026/03/16 23:05:17.149, 125.07 W, 94 %
2026/03/16 23:05:17.249, 125.01 W, 94 %
2026/03/16 23:05:17.350, 125.00 W, 94 %
2026/03/16 23:05:17.450, 125.05 W, 94 %
2026/03/16 23:05:17.550, 125.00 W, 94 %
2026/03/16 23:05:17.650, 125.00 W, 94 %
2026/03/16 23:05:17.750, 125.03 W, 94 %
2026/03/16 23:05:17.850, 125.06 W, 94 %
2026/03/16 23:05:17.950, 125.07 W, 94 %
2026/03/16 23:05:18.050, 125.05 W, 94 %
2026/03/16 23:05:18.151, 125.04 W, 94 %
2026/03/16 23:05:18.251, 125.09 W, 94 %
2026/03/16 23:05:18.351, 125.14 W, 94 %
2026/03/16 23:05:18.451, 125.13 W, 94 %
2026/03/16 23:05:18.551, 125.18 W, 94 %
2026/03/16 23:05:18.651, 125.18 W, 94 %
2026/03/16 23:05:18.751, 125.15 W, 94 %
2026/03/16 23:05:18.852, 125.13 W, 94 %
2026/03/16 23:05:18.952, 125.09 W, 94 %
2026/03/16 23:05:19.052, 125.15 W, 94 %
2026/03/16 23:05:19.152, 125.20 W, 94 %
2026/03/16 23:05:19.252, 125.24 W, 94 %
2026/03/16 23:05:19.352, 125.24 W, 94 %
2026/03/16 23:05:19.452, 125.23 W, 94 %
2026/03/16 23:05:19.553, 125.23 W, 94 %
2026/03/16 23:05:19.653, 125.26 W, 94 %
2026/03/16 23:05:19.753, 125.28 W, 94 %
2026/03/16 23:05:19.853, 125.24 W, 94 %
2026/03/16 23:05:19.953, 125.25 W, 94 %
2026/03/16 23:05:20.053, 125.21 W, 94 %
2026/03/16 23:05:20.153, 125.17 W, 94 %
2026/03/16 23:05:20.253, 125.15 W, 94 %
2026/03/16 23:05:20.354, 125.13 W, 94 %
2026/03/16 23:05:20.454, 125.12 W, 94 %
2026/03/16 23:05:20.554, 125.12 W, 94 %
2026/03/16 23:05:20.654, 125.09 W, 94 %
2026/03/16 23:05:20.754, 125.08 W, 94 %
2026/03/16 23:05:20.854, 125.11 W, 94 %
2026/03/16 23:05:20.954, 125.14 W, 94 %
2026/03/16 23:05:21.055, 125.17 W, 94 %
2026/03/16 23:05:21.155, 125.18 W, 94 %
2026/03/16 23:05:21.255, 125.16 W, 94 %
2026/03/16 23:05:21.355, 125.16 W, 94 %
2026/03/16 23:05:21.455, 125.17 W, 94 %
2026/03/16 23:05:21.555, 125.17 W, 94 %
2026/03/16 23:05:21.655, 125.18 W, 94 %
2026/03/16 23:05:21.756, 125.19 W, 94 %
2026/03/16 23:05:21.856, 125.19 W, 94 %
2026/03/16 23:05:21.956, 125.16 W, 94 %
2026/03/16 23:05:22.056, 125.14 W, 94 %
2026/03/16 23:05:22.156, 125.08 W, 94 %
2026/03/16 23:05:22.256, 125.08 W, 94 %
2026/03/16 23:05:22.356, 125.07 W, 94 %
2026/03/16 23:05:22.457, 125.06 W, 94 %
2026/03/16 23:05:22.557, 125.05 W, 94 %
2026/03/16 23:05:22.657, 125.04 W, 94 %
2026/03/16 23:05:22.757, 125.01 W, 94 %
2026/03/16 23:05:22.857, 125.04 W, 94 %
