timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 03:37:08.397, 251.06 W, 95 %
2026/03/17 03:37:08.499, 237.77 W, 2 %
2026/03/17 03:37:08.599, 224.33 W, 2 %
2026/03/17 03:37:08.700, 210.02 W, 0 %
2026/03/17 03:37:08.800, 196.27 W, 0 %
2026/03/17 03:37:08.900, 182.33 W, 4 %
2026/03/17 03:37:09.000, 170.02 W, 4 %
2026/03/17 03:37:09.100, 156.21 W, 1 %
2026/03/17 03:37:09.200, 140.11 W, 1 %
2026/03/17 03:37:09.300, 130.86 W, 21 %
2026/03/17 03:37:09.400, 163.78 W, 21 %
2026/03/17 03:37:09.501, 197.80 W, 100 %
2026/03/17 03:37:09.601, 232.26 W, 100 %
2026/03/17 03:37:09.701, 267.47 W, 100 %
2026/03/17 03:37:09.801, 291.69 W, 100 %
2026/03/17 03:37:09.901, 337.16 W, 100 %
2026/03/17 03:37:10.001, 372.71 W, 100 %
2026/03/17 03:37:10.101, 405.22 W, 100 %
2026/03/17 03:37:10.202, 425.72 W, 100 %
2026/03/17 03:37:10.302, 441.16 W, 100 %
2026/03/17 03:37:10.402, 431.82 W, 100 %
2026/03/17 03:37:10.502, 429.40 W, 100 %
2026/03/17 03:37:10.602, 427.61 W, 100 %
2026/03/17 03:37:10.702, 428.29 W, 100 %
2026/03/17 03:37:10.802, 428.60 W, 100 %
2026/03/17 03:37:10.903, 427.90 W, 100 %
2026/03/17 03:37:11.003, 428.14 W, 100 %
2026/03/17 03:37:11.103, 421.45 W, 98 %
2026/03/17 03:37:11.203, 423.34 W, 98 %
2026/03/17 03:37:11.303, 428.12 W, 100 %
2026/03/17 03:37:11.403, 429.12 W, 100 %
2026/03/17 03:37:11.503, 429.40 W, 100 %
2026/03/17 03:37:11.604, 430.05 W, 100 %
2026/03/17 03:37:11.704, 427.97 W, 100 %
2026/03/17 03:37:11.804, 427.50 W, 100 %
2026/03/17 03:37:11.904, 427.56 W, 100 %
2026/03/17 03:37:12.004, 425.65 W, 100 %
2026/03/17 03:37:12.104, 424.40 W, 100 %
2026/03/17 03:37:12.204, 426.79 W, 100 %
2026/03/17 03:37:12.305, 429.04 W, 100 %
2026/03/17 03:37:12.405, 429.44 W, 100 %
2026/03/17 03:37:12.505, 430.23 W, 100 %
2026/03/17 03:37:12.605, 428.90 W, 100 %
2026/03/17 03:37:12.705, 429.52 W, 100 %
2026/03/17 03:37:12.805, 429.11 W, 100 %
2026/03/17 03:37:12.905, 425.97 W, 98 %
2026/03/17 03:37:13.005, 426.38 W, 98 %
2026/03/17 03:37:13.106, 427.31 W, 100 %
2026/03/17 03:37:13.206, 426.84 W, 100 %
2026/03/17 03:37:13.306, 429.38 W, 100 %
2026/03/17 03:37:13.406, 431.10 W, 100 %
2026/03/17 03:37:13.506, 431.21 W, 100 %
2026/03/17 03:37:13.606, 430.10 W, 100 %
2026/03/17 03:37:13.706, 430.16 W, 100 %
2026/03/17 03:37:13.807, 429.65 W, 100 %
2026/03/17 03:37:13.907, 429.97 W, 100 %
2026/03/17 03:37:14.007, 427.88 W, 100 %
2026/03/17 03:37:14.107, 427.19 W, 100 %
2026/03/17 03:37:14.207, 429.60 W, 100 %
2026/03/17 03:37:14.307, 430.42 W, 100 %
2026/03/17 03:37:14.407, 430.42 W, 100 %
2026/03/17 03:37:14.507, 430.05 W, 100 %
2026/03/17 03:37:14.608, 429.83 W, 100 %
2026/03/17 03:37:14.708, 430.07 W, 98 %
2026/03/17 03:37:14.808, 429.31 W, 98 %
2026/03/17 03:37:14.908, 427.58 W, 100 %
2026/03/17 03:37:15.008, 427.08 W, 100 %
2026/03/17 03:37:15.108, 427.36 W, 100 %
2026/03/17 03:37:15.208, 427.83 W, 100 %
2026/03/17 03:37:15.309, 427.36 W, 100 %
2026/03/17 03:37:15.409, 427.67 W, 100 %
2026/03/17 03:37:15.509, 428.19 W, 100 %
2026/03/17 03:37:15.609, 428.44 W, 100 %
2026/03/17 03:37:15.709, 428.31 W, 100 %
2026/03/17 03:37:15.809, 427.94 W, 100 %
2026/03/17 03:37:15.909, 427.68 W, 100 %
2026/03/17 03:37:16.010, 427.13 W, 100 %
2026/03/17 03:37:16.110, 427.40 W, 100 %
2026/03/17 03:37:16.210, 428.23 W, 100 %
2026/03/17 03:37:16.310, 429.60 W, 100 %
2026/03/17 03:37:16.410, 430.14 W, 100 %
2026/03/17 03:37:16.510, 430.27 W, 100 %
2026/03/17 03:37:16.610, 429.76 W, 100 %
2026/03/17 03:37:16.711, 428.77 W, 100 %
2026/03/17 03:37:16.811, 428.35 W, 100 %
2026/03/17 03:37:16.911, 427.81 W, 100 %
2026/03/17 03:37:17.011, 427.40 W, 100 %
2026/03/17 03:37:17.111, 427.87 W, 100 %
2026/03/17 03:37:17.211, 428.42 W, 100 %
2026/03/17 03:37:17.311, 428.56 W, 100 %
2026/03/17 03:37:17.411, 428.55 W, 100 %
2026/03/17 03:37:17.512, 429.29 W, 98 %
2026/03/17 03:37:17.612, 428.82 W, 98 %
2026/03/17 03:37:17.712, 429.06 W, 100 %
2026/03/17 03:37:17.812, 427.66 W, 100 %
2026/03/17 03:37:17.912, 427.19 W, 100 %
2026/03/17 03:37:18.012, 426.53 W, 100 %
2026/03/17 03:37:18.112, 427.53 W, 100 %
2026/03/17 03:37:18.213, 427.84 W, 100 %
2026/03/17 03:37:18.313, 427.20 W, 100 %
2026/03/17 03:37:18.413, 428.45 W, 100 %
2026/03/17 03:37:18.513, 428.59 W, 100 %
2026/03/17 03:37:18.613, 428.90 W, 100 %
2026/03/17 03:37:18.713, 428.48 W, 100 %
2026/03/17 03:37:18.813, 429.07 W, 100 %
2026/03/17 03:37:18.914, 428.98 W, 100 %
2026/03/17 03:37:19.014, 429.63 W, 100 %
2026/03/17 03:37:19.114, 429.27 W, 100 %
2026/03/17 03:37:19.214, 428.31 W, 100 %
2026/03/17 03:37:19.314, 429.32 W, 98 %
2026/03/17 03:37:19.414, 428.63 W, 98 %
2026/03/17 03:37:19.514, 428.95 W, 100 %
2026/03/17 03:37:19.614, 429.00 W, 100 %
2026/03/17 03:37:19.715, 428.86 W, 100 %
2026/03/17 03:37:19.815, 429.12 W, 100 %
2026/03/17 03:37:19.915, 428.82 W, 100 %
2026/03/17 03:37:20.015, 429.52 W, 100 %
2026/03/17 03:37:20.115, 428.92 W, 99 %
2026/03/17 03:37:20.215, 429.33 W, 99 %
2026/03/17 03:37:20.315, 429.71 W, 100 %
2026/03/17 03:37:20.416, 430.09 W, 100 %
2026/03/17 03:37:20.516, 430.07 W, 100 %
2026/03/17 03:37:20.616, 430.39 W, 100 %
2026/03/17 03:37:20.716, 430.55 W, 100 %
2026/03/17 03:37:20.816, 430.11 W, 100 %
2026/03/17 03:37:20.916, 430.65 W, 100 %
2026/03/17 03:37:21.016, 429.77 W, 100 %
2026/03/17 03:37:21.117, 429.46 W, 98 %
2026/03/17 03:37:21.217, 430.47 W, 98 %
2026/03/17 03:37:21.317, 430.44 W, 100 %
2026/03/17 03:37:21.417, 431.22 W, 100 %
2026/03/17 03:37:21.517, 430.48 W, 100 %
2026/03/17 03:37:21.617, 430.57 W, 100 %
2026/03/17 03:37:21.717, 429.84 W, 100 %
2026/03/17 03:37:21.817, 429.12 W, 100 %
2026/03/17 03:37:21.918, 427.91 W, 100 %
2026/03/17 03:37:22.018, 427.93 W, 100 %
2026/03/17 03:37:22.118, 428.92 W, 100 %
2026/03/17 03:37:22.218, 428.85 W, 100 %
2026/03/17 03:37:22.318, 429.25 W, 100 %
2026/03/17 03:37:22.418, 429.03 W, 100 %
2026/03/17 03:37:22.518, 429.33 W, 100 %
2026/03/17 03:37:22.619, 428.83 W, 100 %
2026/03/17 03:37:22.719, 428.20 W, 100 %
2026/03/17 03:37:22.819, 427.49 W, 100 %
2026/03/17 03:37:22.919, 428.97 W, 98 %
2026/03/17 03:37:23.019, 428.65 W, 98 %
2026/03/17 03:37:23.119, 429.00 W, 100 %
2026/03/17 03:37:23.219, 429.82 W, 100 %
2026/03/17 03:37:23.320, 429.09 W, 100 %
2026/03/17 03:37:23.420, 429.72 W, 100 %
2026/03/17 03:37:23.520, 429.56 W, 100 %
2026/03/17 03:37:23.620, 428.63 W, 100 %
2026/03/17 03:37:23.720, 427.05 W, 100 %
2026/03/17 03:37:23.820, 427.95 W, 100 %
2026/03/17 03:37:23.920, 426.92 W, 100 %
2026/03/17 03:37:24.020, 427.51 W, 100 %
2026/03/17 03:37:24.121, 427.70 W, 100 %
2026/03/17 03:37:24.221, 427.54 W, 100 %
2026/03/17 03:37:24.321, 427.70 W, 100 %
2026/03/17 03:37:24.421, 427.40 W, 100 %
2026/03/17 03:37:24.521, 427.36 W, 100 %
2026/03/17 03:37:24.621, 427.64 W, 100 %
2026/03/17 03:37:24.721, 428.24 W, 98 %
2026/03/17 03:37:24.822, 428.69 W, 98 %
2026/03/17 03:37:24.922, 429.35 W, 100 %
2026/03/17 03:37:25.022, 429.35 W, 100 %
2026/03/17 03:37:25.122, 428.93 W, 100 %
2026/03/17 03:37:25.222, 429.15 W, 100 %
2026/03/17 03:37:25.322, 429.64 W, 100 %
2026/03/17 03:37:25.422, 429.54 W, 100 %
2026/03/17 03:37:25.523, 430.06 W, 100 %
2026/03/17 03:37:25.623, 430.45 W, 100 %
2026/03/17 03:37:25.723, 429.35 W, 100 %
2026/03/17 03:37:25.823, 429.76 W, 100 %
2026/03/17 03:37:25.923, 429.12 W, 100 %
2026/03/17 03:37:26.023, 429.02 W, 100 %
2026/03/17 03:37:26.123, 428.48 W, 100 %
2026/03/17 03:37:26.224, 428.80 W, 100 %
2026/03/17 03:37:26.324, 428.84 W, 100 %
2026/03/17 03:37:26.424, 428.89 W, 100 %
2026/03/17 03:37:26.524, 428.45 W, 98 %
2026/03/17 03:37:26.624, 428.71 W, 98 %
2026/03/17 03:37:26.724, 427.86 W, 100 %
2026/03/17 03:37:26.824, 427.28 W, 100 %
2026/03/17 03:37:26.925, 428.04 W, 100 %
2026/03/17 03:37:27.025, 427.26 W, 100 %
2026/03/17 03:37:27.125, 428.43 W, 100 %
2026/03/17 03:37:27.225, 428.85 W, 100 %
2026/03/17 03:37:27.325, 428.00 W, 100 %
2026/03/17 03:37:27.425, 428.86 W, 100 %
2026/03/17 03:37:27.525, 428.29 W, 100 %
2026/03/17 03:37:27.625, 427.49 W, 100 %
2026/03/17 03:37:27.726, 428.22 W, 100 %
2026/03/17 03:37:27.826, 428.60 W, 100 %
2026/03/17 03:37:27.926, 428.78 W, 100 %
2026/03/17 03:37:28.026, 429.45 W, 100 %
2026/03/17 03:37:28.126, 429.32 W, 100 %
2026/03/17 03:37:28.226, 427.17 W, 100 %
2026/03/17 03:37:28.326, 428.49 W, 97 %
2026/03/17 03:37:28.427, 428.63 W, 97 %
2026/03/17 03:37:28.527, 428.38 W, 100 %
2026/03/17 03:37:28.627, 428.43 W, 100 %
2026/03/17 03:37:28.727, 428.97 W, 100 %
2026/03/17 03:37:28.827, 429.51 W, 100 %
2026/03/17 03:37:28.927, 429.00 W, 100 %
2026/03/17 03:37:29.027, 428.95 W, 100 %
2026/03/17 03:37:29.128, 428.83 W, 100 %
2026/03/17 03:37:29.228, 429.63 W, 100 %
2026/03/17 03:37:29.328, 429.88 W, 100 %
2026/03/17 03:37:29.428, 428.91 W, 100 %
2026/03/17 03:37:29.528, 429.12 W, 100 %
2026/03/17 03:37:29.628, 429.73 W, 100 %
2026/03/17 03:37:29.728, 429.02 W, 100 %
2026/03/17 03:37:29.829, 428.26 W, 100 %
2026/03/17 03:37:29.929, 428.67 W, 100 %
2026/03/17 03:37:30.029, 429.12 W, 100 %
2026/03/17 03:37:30.129, 428.97 W, 98 %
2026/03/17 03:37:30.229, 428.93 W, 98 %
2026/03/17 03:37:30.329, 428.59 W, 100 %
2026/03/17 03:37:30.429, 428.95 W, 100 %
2026/03/17 03:37:30.529, 429.38 W, 100 %
2026/03/17 03:37:30.630, 429.44 W, 100 %
2026/03/17 03:37:30.730, 429.08 W, 100 %
2026/03/17 03:37:30.830, 429.50 W, 100 %
2026/03/17 03:37:30.930, 429.83 W, 100 %
2026/03/17 03:37:31.030, 428.71 W, 100 %
2026/03/17 03:37:31.130, 429.12 W, 100 %
2026/03/17 03:37:31.230, 428.65 W, 100 %
2026/03/17 03:37:31.331, 428.04 W, 100 %
2026/03/17 03:37:31.431, 428.49 W, 100 %
2026/03/17 03:37:31.531, 428.01 W, 100 %
