timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 04:44:44.793, 392.26 W, 5 %
2026/03/17 04:44:44.895, 126.37 W, 0 %
2026/03/17 04:44:44.995, 126.67 W, 0 %
2026/03/17 04:44:45.095, 126.55 W, 0 %
2026/03/17 04:44:45.196, 126.49 W, 0 %
2026/03/17 04:44:45.296, 126.05 W, 5 %
2026/03/17 04:44:45.396, 125.23 W, 5 %
2026/03/17 04:44:45.496, 124.59 W, 0 %
2026/03/17 04:44:45.596, 124.08 W, 0 %
2026/03/17 04:44:45.696, 123.68 W, 0 %
2026/03/17 04:44:45.796, 123.35 W, 0 %
2026/03/17 04:44:45.897, 122.93 W, 0 %
2026/03/17 04:44:45.997, 122.09 W, 0 %
2026/03/17 04:44:46.097, 121.50 W, 0 %
2026/03/17 04:44:46.197, 120.73 W, 0 %
2026/03/17 04:44:46.297, 120.24 W, 0 %
2026/03/17 04:44:46.397, 119.99 W, 0 %
2026/03/17 04:44:46.497, 119.87 W, 2 %
2026/03/17 04:44:46.598, 120.00 W, 2 %
2026/03/17 04:44:46.698, 119.86 W, 0 %
2026/03/17 04:44:46.798, 119.70 W, 0 %
2026/03/17 04:44:46.898, 119.55 W, 0 %
2026/03/17 04:44:46.998, 119.51 W, 0 %
2026/03/17 04:44:47.098, 119.46 W, 0 %
2026/03/17 04:44:47.198, 119.42 W, 0 %
2026/03/17 04:44:47.299, 119.39 W, 0 %
2026/03/17 04:44:47.399, 119.35 W, 0 %
2026/03/17 04:44:47.499, 119.26 W, 0 %
2026/03/17 04:44:47.599, 120.26 W, 0 %
2026/03/17 04:44:47.699, 151.41 W, 93 %
2026/03/17 04:44:47.799, 182.32 W, 93 %
2026/03/17 04:44:47.899, 212.32 W, 90 %
2026/03/17 04:44:48.000, 247.55 W, 90 %
2026/03/17 04:44:48.100, 278.55 W, 90 %
2026/03/17 04:44:48.200, 313.31 W, 90 %
2026/03/17 04:44:48.300, 348.83 W, 97 %
2026/03/17 04:44:48.400, 383.30 W, 97 %
2026/03/17 04:44:48.500, 417.02 W, 90 %
2026/03/17 04:44:48.600, 447.36 W, 90 %
2026/03/17 04:44:48.701, 451.15 W, 90 %
2026/03/17 04:44:48.801, 449.81 W, 90 %
2026/03/17 04:44:48.901, 448.02 W, 97 %
2026/03/17 04:44:49.001, 451.98 W, 97 %
2026/03/17 04:44:49.101, 444.85 W, 63 %
2026/03/17 04:44:49.201, 448.96 W, 63 %
2026/03/17 04:44:49.301, 447.56 W, 90 %
2026/03/17 04:44:49.402, 447.61 W, 90 %
2026/03/17 04:44:49.502, 448.59 W, 97 %
2026/03/17 04:44:49.602, 443.48 W, 97 %
2026/03/17 04:44:49.702, 443.29 W, 89 %
2026/03/17 04:44:49.802, 448.92 W, 89 %
2026/03/17 04:44:49.902, 448.95 W, 90 %
2026/03/17 04:44:50.002, 447.38 W, 90 %
2026/03/17 04:44:50.103, 454.76 W, 95 %
2026/03/17 04:44:50.203, 451.13 W, 95 %
2026/03/17 04:44:50.303, 446.32 W, 90 %
2026/03/17 04:44:50.403, 441.29 W, 90 %
2026/03/17 04:44:50.503, 440.30 W, 97 %
2026/03/17 04:44:50.603, 431.79 W, 97 %
2026/03/17 04:44:50.703, 431.29 W, 97 %
2026/03/17 04:44:50.804, 429.19 W, 97 %
2026/03/17 04:44:50.904, 427.57 W, 90 %
2026/03/17 04:44:51.004, 423.57 W, 90 %
