timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 08:03:43.832, 294.33 W, 72 %
2026/03/17 08:03:43.934, 275.91 W, 2 %
2026/03/17 08:03:44.034, 253.31 W, 2 %
2026/03/17 08:03:44.135, 235.35 W, 0 %
2026/03/17 08:03:44.235, 217.12 W, 0 %
2026/03/17 08:03:44.335, 197.49 W, 0 %
2026/03/17 08:03:44.435, 177.61 W, 0 %
2026/03/17 08:03:44.535, 156.93 W, 0 %
2026/03/17 08:03:44.635, 133.64 W, 0 %
2026/03/17 08:03:44.735, 130.34 W, 19 %
2026/03/17 08:03:44.836, 151.17 W, 19 %
2026/03/17 08:03:44.936, 170.01 W, 91 %
2026/03/17 08:03:45.036, 188.37 W, 91 %
2026/03/17 08:03:45.136, 209.69 W, 91 %
2026/03/17 08:03:45.236, 227.71 W, 91 %
2026/03/17 08:03:45.336, 249.29 W, 90 %
2026/03/17 08:03:45.436, 269.41 W, 90 %
2026/03/17 08:03:45.537, 286.11 W, 91 %
2026/03/17 08:03:45.637, 309.68 W, 91 %
2026/03/17 08:03:45.737, 322.48 W, 90 %
2026/03/17 08:03:45.837, 321.90 W, 90 %
2026/03/17 08:03:45.937, 320.55 W, 82 %
2026/03/17 08:03:46.037, 321.09 W, 82 %
2026/03/17 08:03:46.137, 319.43 W, 89 %
2026/03/17 08:03:46.238, 320.19 W, 89 %
2026/03/17 08:03:46.338, 321.67 W, 91 %
2026/03/17 08:03:46.438, 322.28 W, 91 %
2026/03/17 08:03:46.538, 323.42 W, 91 %
2026/03/17 08:03:46.638, 323.20 W, 91 %
2026/03/17 08:03:46.738, 324.40 W, 91 %
2026/03/17 08:03:46.838, 324.83 W, 91 %
2026/03/17 08:03:46.939, 326.72 W, 91 %
2026/03/17 08:03:47.039, 324.22 W, 91 %
2026/03/17 08:03:47.139, 325.31 W, 91 %
2026/03/17 08:03:47.239, 325.33 W, 91 %
2026/03/17 08:03:47.339, 323.71 W, 91 %
2026/03/17 08:03:47.439, 323.64 W, 91 %
2026/03/17 08:03:47.539, 323.38 W, 90 %
2026/03/17 08:03:47.640, 324.32 W, 90 %
2026/03/17 08:03:47.740, 324.56 W, 91 %
2026/03/17 08:03:47.840, 324.20 W, 91 %
2026/03/17 08:03:47.940, 324.67 W, 90 %
2026/03/17 08:03:48.040, 327.02 W, 90 %
2026/03/17 08:03:48.140, 327.12 W, 91 %
2026/03/17 08:03:48.240, 326.38 W, 91 %
2026/03/17 08:03:48.341, 326.77 W, 91 %
2026/03/17 08:03:48.441, 325.84 W, 91 %
2026/03/17 08:03:48.541, 325.78 W, 91 %
2026/03/17 08:03:48.641, 324.58 W, 91 %
2026/03/17 08:03:48.741, 324.18 W, 91 %
2026/03/17 08:03:48.841, 323.49 W, 91 %
2026/03/17 08:03:48.941, 324.20 W, 90 %
2026/03/17 08:03:49.042, 324.69 W, 90 %
2026/03/17 08:03:49.142, 324.90 W, 91 %
2026/03/17 08:03:49.242, 325.33 W, 91 %
2026/03/17 08:03:49.342, 323.80 W, 85 %
2026/03/17 08:03:49.442, 324.58 W, 85 %
2026/03/17 08:03:49.542, 324.92 W, 91 %
2026/03/17 08:03:49.642, 324.89 W, 91 %
2026/03/17 08:03:49.743, 324.36 W, 91 %
2026/03/17 08:03:49.843, 324.99 W, 91 %
2026/03/17 08:03:49.943, 325.14 W, 91 %
2026/03/17 08:03:50.043, 325.30 W, 91 %
2026/03/17 08:03:50.143, 324.93 W, 91 %
2026/03/17 08:03:50.243, 324.38 W, 91 %
2026/03/17 08:03:50.343, 326.83 W, 91 %
2026/03/17 08:03:50.444, 325.55 W, 91 %
2026/03/17 08:03:50.544, 325.83 W, 87 %
2026/03/17 08:03:50.644, 325.88 W, 87 %
2026/03/17 08:03:50.744, 326.05 W, 88 %
2026/03/17 08:03:50.844, 326.91 W, 88 %
2026/03/17 08:03:50.944, 326.92 W, 91 %
2026/03/17 08:03:51.044, 326.27 W, 91 %
2026/03/17 08:03:51.145, 326.04 W, 90 %
2026/03/17 08:03:51.245, 327.22 W, 90 %
2026/03/17 08:03:51.345, 326.68 W, 91 %
2026/03/17 08:03:51.445, 328.14 W, 91 %
