timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 07:47:33.216, 423.67 W, 45 %
2026/03/17 07:47:33.318, 391.79 W, 45 %
2026/03/17 07:47:33.418, 343.97 W, 0 %
2026/03/17 07:47:33.518, 311.98 W, 0 %
2026/03/17 07:47:33.618, 280.18 W, 0 %
2026/03/17 07:47:33.718, 245.25 W, 0 %
2026/03/17 07:47:33.818, 207.30 W, 5 %
2026/03/17 07:47:33.918, 174.56 W, 5 %
2026/03/17 07:47:34.019, 154.15 W, 86 %
2026/03/17 07:47:34.119, 143.82 W, 86 %
2026/03/17 07:47:34.219, 151.80 W, 86 %
2026/03/17 07:47:34.319, 160.36 W, 86 %
2026/03/17 07:47:34.419, 169.62 W, 84 %
2026/03/17 07:47:34.519, 176.21 W, 84 %
2026/03/17 07:47:34.619, 185.93 W, 81 %
2026/03/17 07:47:34.720, 194.71 W, 81 %
2026/03/17 07:47:34.820, 202.07 W, 86 %
2026/03/17 07:47:34.920, 210.91 W, 86 %
2026/03/17 07:47:35.020, 212.52 W, 86 %
2026/03/17 07:47:35.120, 212.58 W, 86 %
2026/03/17 07:47:35.220, 212.32 W, 85 %
2026/03/17 07:47:35.320, 212.18 W, 85 %
2026/03/17 07:47:35.421, 211.82 W, 86 %
2026/03/17 07:47:35.521, 212.29 W, 86 %
2026/03/17 07:47:35.621, 212.80 W, 86 %
2026/03/17 07:47:35.721, 212.80 W, 86 %
2026/03/17 07:47:35.821, 212.68 W, 85 %
2026/03/17 07:47:35.921, 212.44 W, 85 %
2026/03/17 07:47:36.021, 212.45 W, 86 %
2026/03/17 07:47:36.122, 212.18 W, 86 %
2026/03/17 07:47:36.222, 212.12 W, 86 %
2026/03/17 07:47:36.322, 211.85 W, 86 %
2026/03/17 07:47:36.422, 211.29 W, 81 %
2026/03/17 07:47:36.522, 211.31 W, 81 %
2026/03/17 07:47:36.622, 211.75 W, 86 %
2026/03/17 07:47:36.723, 211.37 W, 86 %
2026/03/17 07:47:36.823, 211.60 W, 86 %
