timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 10:55:52.699, 397.03 W, 8 %
2026/03/17 10:55:52.801, 356.54 W, 2 %
2026/03/17 10:55:52.901, 321.21 W, 2 %
2026/03/17 10:55:53.001, 277.80 W, 0 %
2026/03/17 10:55:53.101, 247.53 W, 0 %
2026/03/17 10:55:53.202, 207.93 W, 0 %
2026/03/17 10:55:53.302, 174.09 W, 0 %
2026/03/17 10:55:53.402, 128.75 W, 0 %
2026/03/17 10:55:53.502, 125.15 W, 0 %
2026/03/17 10:55:53.602, 124.43 W, 0 %
2026/03/17 10:55:53.702, 123.68 W, 0 %
2026/03/17 10:55:53.802, 122.87 W, 0 %
2026/03/17 10:55:53.903, 122.09 W, 0 %
2026/03/17 10:55:54.003, 121.35 W, 0 %
2026/03/17 10:55:54.103, 120.77 W, 0 %
2026/03/17 10:55:54.203, 120.09 W, 0 %
2026/03/17 10:55:54.303, 119.89 W, 0 %
2026/03/17 10:55:54.403, 119.73 W, 0 %
2026/03/17 10:55:54.503, 119.52 W, 0 %
2026/03/17 10:55:54.604, 119.36 W, 0 %
2026/03/17 10:55:54.704, 119.21 W, 0 %
2026/03/17 10:55:54.804, 119.07 W, 0 %
2026/03/17 10:55:54.904, 118.97 W, 0 %
2026/03/17 10:55:55.004, 118.88 W, 0 %
2026/03/17 10:55:55.104, 118.83 W, 0 %
2026/03/17 10:55:55.204, 118.75 W, 0 %
2026/03/17 10:55:55.305, 118.70 W, 0 %
2026/03/17 10:55:55.405, 118.65 W, 0 %
2026/03/17 10:55:55.505, 118.60 W, 0 %
2026/03/17 10:55:55.605, 118.56 W, 0 %
2026/03/17 10:55:55.705, 118.48 W, 0 %
2026/03/17 10:55:55.805, 118.44 W, 0 %
2026/03/17 10:55:55.905, 118.41 W, 0 %
2026/03/17 10:55:56.006, 118.41 W, 0 %
2026/03/17 10:55:56.106, 118.48 W, 0 %
2026/03/17 10:55:56.206, 118.77 W, 10 %
2026/03/17 10:55:56.306, 118.79 W, 10 %
2026/03/17 10:55:56.406, 118.82 W, 0 %
2026/03/17 10:55:56.506, 118.86 W, 0 %
2026/03/17 10:55:56.606, 118.93 W, 1 %
2026/03/17 10:55:56.707, 118.96 W, 1 %
2026/03/17 10:55:56.807, 118.99 W, 0 %
2026/03/17 10:55:56.907, 118.99 W, 0 %
2026/03/17 10:55:57.007, 118.98 W, 0 %
2026/03/17 10:55:57.107, 118.94 W, 0 %
2026/03/17 10:55:57.207, 118.61 W, 0 %
