timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 14:21:00.915, 124.87 W, 94 %
2026/03/17 14:21:01.017, 124.59 W, 2 %
2026/03/17 14:21:01.117, 124.28 W, 2 %
2026/03/17 14:21:01.217, 123.91 W, 0 %
2026/03/17 14:21:01.317, 123.56 W, 0 %
2026/03/17 14:21:01.417, 123.22 W, 0 %
2026/03/17 14:21:01.517, 127.09 W, 0 %
2026/03/17 14:21:01.617, 140.48 W, 95 %
2026/03/17 14:21:01.718, 153.96 W, 95 %
2026/03/17 14:21:01.818, 167.14 W, 95 %
2026/03/17 14:21:01.918, 179.97 W, 95 %
2026/03/17 14:21:02.018, 194.84 W, 95 %
2026/03/17 14:21:02.118, 208.73 W, 95 %
2026/03/17 14:21:02.218, 222.50 W, 95 %
2026/03/17 14:21:02.318, 234.40 W, 95 %
2026/03/17 14:21:02.419, 250.71 W, 95 %
2026/03/17 14:21:02.519, 259.40 W, 95 %
2026/03/17 14:21:02.619, 260.41 W, 94 %
2026/03/17 14:21:02.719, 260.69 W, 94 %
2026/03/17 14:21:02.819, 261.00 W, 95 %
2026/03/17 14:21:02.919, 261.00 W, 95 %
2026/03/17 14:21:03.019, 260.28 W, 89 %
2026/03/17 14:21:03.120, 260.30 W, 89 %
2026/03/17 14:21:03.220, 260.31 W, 95 %
2026/03/17 14:21:03.320, 259.92 W, 95 %
2026/03/17 14:21:03.420, 259.60 W, 95 %
2026/03/17 14:21:03.520, 259.64 W, 95 %
2026/03/17 14:21:03.620, 259.75 W, 95 %
2026/03/17 14:21:03.720, 259.45 W, 95 %
2026/03/17 14:21:03.821, 259.30 W, 95 %
2026/03/17 14:21:03.921, 259.43 W, 95 %
2026/03/17 14:21:04.021, 260.19 W, 95 %
2026/03/17 14:21:04.121, 260.37 W, 95 %
2026/03/17 14:21:04.221, 260.16 W, 95 %
2026/03/17 14:21:04.321, 260.56 W, 95 %
2026/03/17 14:21:04.421, 260.80 W, 95 %
