timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 23:56:47.339, 185.78 W, 0 %
2026/03/17 23:56:47.445, 177.33 W, 0 %
2026/03/17 23:56:47.545, 168.13 W, 0 %
2026/03/17 23:56:47.645, 158.41 W, 0 %
2026/03/17 23:56:47.745, 150.13 W, 0 %
2026/03/17 23:56:47.845, 140.83 W, 0 %
2026/03/17 23:56:47.946, 132.52 W, 0 %
2026/03/17 23:56:48.046, 124.35 W, 0 %
2026/03/17 23:56:48.146, 124.19 W, 0 %
2026/03/17 23:56:48.246, 123.61 W, 0 %
2026/03/17 23:56:48.346, 123.05 W, 0 %
2026/03/17 23:56:48.446, 122.46 W, 0 %
2026/03/17 23:56:48.546, 121.91 W, 0 %
2026/03/17 23:56:48.647, 121.55 W, 0 %
2026/03/17 23:56:48.747, 121.04 W, 0 %
2026/03/17 23:56:48.847, 120.59 W, 0 %
2026/03/17 23:56:48.947, 120.46 W, 0 %
2026/03/17 23:56:49.047, 120.50 W, 0 %
2026/03/17 23:56:49.147, 120.54 W, 0 %
2026/03/17 23:56:49.247, 120.64 W, 0 %
2026/03/17 23:56:49.348, 120.73 W, 0 %
2026/03/17 23:56:49.448, 120.76 W, 0 %
2026/03/17 23:56:49.548, 120.73 W, 0 %
2026/03/17 23:56:49.648, 120.72 W, 0 %
2026/03/17 23:56:49.748, 120.77 W, 0 %
2026/03/17 23:56:49.848, 120.88 W, 0 %
2026/03/17 23:56:49.948, 120.94 W, 0 %
2026/03/17 23:56:50.049, 120.82 W, 0 %
2026/03/17 23:56:50.149, 120.74 W, 0 %
2026/03/17 23:56:50.249, 120.67 W, 0 %
2026/03/17 23:56:50.349, 120.62 W, 0 %
2026/03/17 23:56:50.449, 120.67 W, 0 %
2026/03/17 23:56:50.549, 120.74 W, 0 %
2026/03/17 23:56:50.649, 120.65 W, 0 %
2026/03/17 23:56:50.750, 120.61 W, 0 %
2026/03/17 23:56:50.850, 120.59 W, 0 %
2026/03/17 23:56:50.950, 120.69 W, 0 %
2026/03/17 23:56:51.050, 120.69 W, 0 %
2026/03/17 23:56:51.150, 121.11 W, 0 %
2026/03/17 23:56:51.250, 121.21 W, 6 %
2026/03/17 23:56:51.350, 121.15 W, 8 %
2026/03/17 23:56:51.451, 121.07 W, 8 %
2026/03/17 23:56:51.551, 121.09 W, 0 %
2026/03/17 23:56:51.651, 121.08 W, 0 %
2026/03/17 23:56:51.751, 121.04 W, 0 %
2026/03/17 23:56:51.851, 120.93 W, 0 %
2026/03/17 23:56:51.951, 120.78 W, 0 %
2026/03/17 23:56:52.051, 120.78 W, 0 %
2026/03/17 23:56:52.152, 120.33 W, 0 %
2026/03/17 23:56:52.252, 120.21 W, 0 %
2026/03/17 23:56:52.352, 120.14 W, 0 %
2026/03/17 23:56:52.452, 120.17 W, 0 %
2026/03/17 23:56:52.552, 120.17 W, 0 %
2026/03/17 23:56:52.652, 120.21 W, 0 %
2026/03/17 23:56:52.752, 120.32 W, 0 %
2026/03/17 23:56:52.853, 120.43 W, 0 %
2026/03/17 23:56:52.953, 120.47 W, 0 %
2026/03/17 23:56:53.053, 120.51 W, 0 %
